Fecha_orig,Dia,Mes,Year,COP_125_Kg
ju.-02-ene-03,02-ene-03,01,2003,277
vi.-03-ene-03,03-ene-03,01,2003,280.875
sá.-04-ene-03,04-ene-03,01,2003,280.875
do.-05-ene-03,05-ene-03,01,2003,280.875
lu.-06-ene-03,06-ene-03,01,2003,281.5
ma.-07-ene-03,07-ene-03,01,2003,294.875
mi.-08-ene-03,08-ene-03,01,2003,317.375
ju.-09-ene-03,09-ene-03,01,2003,319.125
vi.-10-ene-03,10-ene-03,01,2003,331.375
sá.-11-ene-03,11-ene-03,01,2003,331.375
do.-12-ene-03,12-ene-03,01,2003,331.375
lu.-13-ene-03,13-ene-03,01,2003,330.875
ma.-14-ene-03,14-ene-03,01,2003,331.75
mi.-15-ene-03,15-ene-03,01,2003,337.625
ju.-16-ene-03,16-ene-03,01,2003,337.5
vi.-17-ene-03,17-ene-03,01,2003,337.75
sá.-18-ene-03,18-ene-03,01,2003,337.75
do.-19-ene-03,19-ene-03,01,2003,337.75
lu.-20-ene-03,20-ene-03,01,2003,333.625
ma.-21-ene-03,21-ene-03,01,2003,336
mi.-22-ene-03,22-ene-03,01,2003,346.625
ju.-23-ene-03,23-ene-03,01,2003,345.875
vi.-24-ene-03,24-ene-03,01,2003,344
sá.-25-ene-03,25-ene-03,01,2003,344
do.-26-ene-03,26-ene-03,01,2003,344
lu.-27-ene-03,27-ene-03,01,2003,334.25
ma.-28-ene-03,28-ene-03,01,2003,336.125
mi.-29-ene-03,29-ene-03,01,2003,323.75
ju.-30-ene-03,30-ene-03,01,2003,319.75
vi.-31-ene-03,31-ene-03,01,2003,329.5
sá.-01-feb-03,01-feb-03,02,2003,329.5
do.-02-feb-03,02-feb-03,02,2003,329.5
lu.-03-feb-03,03-feb-03,02,2003,334.125
ma.-04-feb-03,04-feb-03,02,2003,332.5
mi.-05-feb-03,05-feb-03,02,2003,326.375
ju.-06-feb-03,06-feb-03,02,2003,330
vi.-07-feb-03,07-feb-03,02,2003,334.625
sá.-08-feb-03,08-feb-03,02,2003,334.625
do.-09-feb-03,09-feb-03,02,2003,334.625
lu.-10-feb-03,10-feb-03,02,2003,340.125
ma.-11-feb-03,11-feb-03,02,2003,336.625
mi.-12-feb-03,12-feb-03,02,2003,331.5
ju.-13-feb-03,13-feb-03,02,2003,311.5
vi.-14-feb-03,14-feb-03,02,2003,317.5
sá.-15-feb-03,15-feb-03,02,2003,317.5
do.-16-feb-03,16-feb-03,02,2003,317.5
lu.-17-feb-03,17-feb-03,02,2003,315.375
