Mes,Fecha,Precio_indicador_compuesto_OIC_US_Cents,Nueva_York_US_Cents,Europa_US_Cents
ene-01,2001-01-01,49.19,75.33,73.16
feb-01,2001-02-01,49.39,76.7,72.02
mar-01,2001-03-01,48.52,76.94,72.45
abr-01,2001-04-01,47.31,78.25,71.45
may-01,2001-05-01,49.38,80.92,75.34
jun-01,2001-06-01,46.54,74.38,70.23
jul-01,2001-07-01,43.07,69.7,65.1
ago-01,2001-08-01,42.77,73.5,64.88
sep-01,2001-09-01,41.17,68.8,64.9
oct-01,2001-10-01,42.16,63.85,62.48
nov-01,2001-11-01,44.24,65.72,64.54
dic-01,2001-12-01,43.36,62.37,62.28
ene-02,2002-01-01,43.46,63.46,62.11
feb-02,2002-02-01,44.3,65.64,61.37
mar-02,2002-03-01,49.49,71.16,67.02
abr-02,2002-04-01,50.19,70.17,69.5
may-02,2002-05-01,47.3,63.44,66.99
jun-02,2002-06-01,45.56,60.86,63.82
jul-02,2002-07-01,44.68,59.75,61.02
ago-02,2002-08-01,42.78,58.92,57.72
sep-02,2002-09-01,48.14,62.49,64.91
oct-02,2002-10-01,50.79,66.54,68.69
nov-02,2002-11-01,54.69,72.83,69.81
dic-02,2002-12-01,51.68,67.92,64.41
ene-03,2003-01-01,53.99,69.68,66.21
feb-03,2003-02-01,54.07,69.6,66.48
mar-03,2003-03-01,49.61,61.82,62.3
abr-03,2003-04-01,51.82,66.12,63.69
may-03,2003-05-01,53.19,67.56,64.9
jun-03,2003-06-01,48.91,65.01,60.14
jul-03,2003-07-01,50.88,67.84,63.61
ago-03,2003-08-01,52.22,68.65,64.33
sep-03,2003-09-01,54.1,68.37,67.22
oct-03,2003-10-01,51.72,66.59,65.79
nov-03,2003-11-01,49.81,67.04,62.66
dic-03,2003-12-01,52.44,69.38,64.71
ene-04,2004-01-01,58.69,76.61,71.89
feb-04,2004-02-01,59.87,79.34,74.58
mar-04,2004-03-01,60.8,80.12,76.53
abr-04,2004-04-01,58.79,73.45,73.97
may-04,2004-05-01,59.91,80.62,75.02
jun-04,2004-06-01,64.28,85.62,80.28
jul-04,2004-07-01,58.46,78.27,74.7
ago-04,2004-08-01,56.98,78.85,73.01
sep-04,2004-09-01,61.47,85.71,78.12
oct-04,2004-10-01,61.1,85.52,81.35
nov-04,2004-11-01,67.74,95.62,90.1
dic-04,2004-12-01,77.72,106.48,104.36
ene-05,2005-01-01,79.35,110.03,107.09
feb-05,2005-02-01,89.4,124.34,119.55
mar-05,2005-03-01,101.44,137.1,134.49
abr-05,2005-04-01,97.96,129.74,129.24
may-05,2005-05-01,99.78,128.36,129.21
jun-05,2005-06-01,96.29,122.47,120.51
jul-05,2005-07-01,88.48,112.47,109.72
ago-05,2005-08-01,85.31,111.21,107.43
sep-05,2005-09-01,78.79,101.31,100.76
oct-05,2005-10-01,82.55,108.77,104.59
nov-05,2005-11-01,85.93,111.66,107.18
dic-05,2005-12-01,86.85,106.54,106.28
ene-06,2006-01-01,101.2,129.64,125.24
feb-06,2006-02-01,97.39,123.17,120.01
mar-06,2006-03-01,92.76,111.75,115.26
abr-06,2006-04-01,94.2,119.87,116.37
may-06,2006-05-01,90,113.03,111.43
jun-06,2006-06-01,86.04,106.84,104.97
jul-06,2006-07-01,88.57,109.45,106.56
ago-06,2006-08-01,95.78,116.22,112.57
sep-06,2006-09-01,95.98,112.21,111.51
oct-06,2006-10-01,95.53,113.73,111.76
nov-06,2006-11-01,103.48,126.22,122.23
dic-06,2006-12-01,108.01,132.85,130.54
ene-07,2007-01-01,105.81,127.54,124.89
feb-07,2007-02-01,104.18,125.54,122.62
mar-07,2007-03-01,100.09,119.92,117.13
abr-07,2007-04-01,99.3,117.5,115.07
may-07,2007-05-01,100.09,116.14,114.17
jun-07,2007-06-01,107.03,122.35,120.34
jul-07,2007-07-01,106.2,122.32,119.75
ago-07,2007-08-01,107.98,126.68,124.12
sep-07,2007-09-01,113.17,131.51,129.86
oct-07,2007-10-01,115.71,137.71,135.35
nov-07,2007-11-01,114.43,133.81,132.85
dic-07,2007-12-01,118.16,139.87,140.29
ene-08,2008-01-01,122.33,143.37,142.14
feb-08,2008-02-01,138.82,161.3,158.95
mar-08,2008-03-01,135.72,151.47,152.72
abr-08,2008-04-01,126.55,142.41,141.76
may-08,2008-05-01,126.76,143.51,143.63
jun-08,2008-06-01,130.53,150.58,148.02
jul-08,2008-07-01,132.78,151.58,150.58
ago-08,2008-08-01,131.14,154.23,148.52
sep-08,2008-09-01,126.69,150.2,146.65
oct-08,2008-10-01,108.31,133.37,128.93
nov-08,2008-11-01,118.09,137.49,141.37
dic-08,2008-12-01,107.88,133.4,127.93
ene-09,2009-01-01,108.39,148.88,137.62
feb-09,2009-02-01,107.6,149.58,140.74
mar-09,2009-03-01,105.87,162,148
abr-09,2009-04-01,111.61,190.94,173.29
may-09,2009-05-01,123.05,225.58,201
jun-09,2009-06-01,119.05,195.27,197.14
jul-09,2009-07-01,112.9,192.11,183.71
ago-09,2009-08-01,117.45,181.61,188.36
sep-09,2009-09-01,116.4,169.9,183.39
oct-09,2009-10-01,121.09,175.16,180.55
nov-09,2009-11-01,119.67,180.08,176.48
dic-09,2009-12-01,124.96,199.38,184.67
ene-10,2010-01-01,126.85,214.55,201.65
feb-10,2010-02-01,123.37,208.03,201.89
mar-10,2010-03-01,125.3,206.37,205.17
abr-10,2010-04-01,126.89,195.18,203.5
may-10,2010-05-01,128.1,197.76,202.39
jun-10,2010-06-01,142.2,229.06,220.75
jul-10,2010-07-01,153.41,230.88,239.33
ago-10,2010-08-01,157.46,241.77,245.79
sep-10,2010-09-01,163.61,239.26,254.34
oct-10,2010-10-01,172.57,236.5,243.75
nov-10,2010-11-01,173.9,239.59,247.86
dic-10,2010-12-01,184.26,256.52,258.5
ene-11,2011-01-01,197.35,280.05,279.34
feb-11,2011-02-01,216.03,289.49,301.88
mar-11,2011-03-01,224.33,300.93,300.46
abr-11,2011-04-01,231.24,314.26,311.45
may-11,2011-05-01,227.97,301.48,303.16
jun-11,2011-06-01,215.58,290.19,285.68
jul-11,2011-07-01,210.36,286.46,283.74
ago-11,2011-08-01,212.19,288.43,285.72
sep-11,2011-09-01,213.04,283.51,289.86
oct-11,2011-10-01,193.9,256.86,258.34
nov-11,2011-11-01,193.66,259.74,254.51
dic-11,2011-12-01,189.02,254.41,249.88
ene-12,2012-01-01,188.9,258.7,253.68
feb-12,2012-02-01,182.29,248.09,241.07
mar-12,2012-03-01,167.77,224.69,221.25
abr-12,2012-04-01,160.46,215.85,213.18
may-12,2012-05-01,157.83,208.08,206.62
jun-12,2012-06-01,145.31,184.45,184.85
jul-12,2012-07-01,159.18,203.75,202.22
ago-12,2012-08-01,148.5,189.27,185.32
sep-12,2012-09-01,151.28,191.54,189.02
oct-12,2012-10-01,147.12,182.73,180.36
nov-12,2012-11-01,136.35,172.55,167.99
dic-12,2012-12-01,131.31,167.67,160.75
ene-13,2013-01-01,135.38,170.64,167.76
feb-13,2013-02-01,131.51,164.74,159.2
mar-13,2013-03-01,131.38,163.46,159.89
abr-13,2013-04-01,129.55,164.52,159.17
may-13,2013-05-01,126.96,161.14,155.99
jun-13,2013-06-01,117.58,148.56,146.7
jul-13,2013-07-01,118.93,147.7,147.36
ago-13,2013-08-01,116.45,142.47,143.94
sep-13,2013-09-01,111.82,135.93,140.92
oct-13,2013-10-01,107.03,130.14,138.16
nov-13,2013-11-01,100.99,123.92,125.37
dic-13,2013-12-01,106.56,125.82,125.92
ene-14,2014-01-01,110.75,133.51,132.25
feb-14,2014-02-01,137.81,173.96,170.97
mar-14,2014-03-01,165.03,213.63,208.06
abr-14,2014-04-01,170.58,223.79,216.9
may-14,2014-05-01,163.94,213.45,209.27
jun-14,2014-06-01,151.92,196.14,194.48
jul-14,2014-07-01,152.5,194.91,193.36
ago-14,2014-08-01,163.08,210.42,212.99
sep-14,2014-09-01,161.79,202.77,210.78
oct-14,2014-10-01,172.88,219.27,226.48
nov-14,2014-11-01,162.17,203.71,209.54
dic-14,2014-12-01,150.66,191.53,192.89
ene-15,2015-01-01,148.24,182.32,189.21
feb-15,2015-02-01,141.1,171.68,176.49
mar-15,2015-03-01,127.04,151.94,157.04
abr-15,2015-04-01,129.02,155.3,159.13
may-15,2015-05-01,123.49,148.45,152.3
jun-15,2015-06-01,124.97,150.58,153.72
jul-15,2015-07-01,119.77,142.24,147.08
ago-15,2015-08-01,121.21,144.96,149.29
sep-15,2015-09-01,113.14,133.04,138.51
oct-15,2015-10-01,118.43,140.28,146.41
nov-15,2015-11-01,115.03,137.49,139.46
dic-15,2015-12-01,114.63,140.23,139.56
ene-16,2016-01-01,110.91,134.98,135.71
feb-16,2016-02-01,111.75,137.71,136.49
mar-16,2016-03-01,117.83,145.18,145.05
abr-16,2016-04-01,117.93,143.46,143.89
may-16,2016-05-01,119.91,144.93,144.31
jun-16,2016-06-01,128,158.7,157.07
jul-16,2016-07-01,132.82,164.93,163.42
ago-16,2016-08-01,131,161.36,160.11
sep-16,2016-09-01,138.22,168.13,169.74
oct-16,2016-10-01,142.68,171.13,173.63
nov-16,2016-11-01,145.82,178.16,178.23
dic-16,2016-12-01,131.7,158.31,156.79
ene-17,2017-01-01,139.07,165.56,164.92
feb-17,2017-02-01,137.68,164.33,162.84
mar-17,2017-03-01,134.07,158.97,157.73
abr-17,2017-04-01,130.39,155.79,153.69
may-17,2017-05-01,125.4,153.49,148.96
jun-17,2017-06-01,122.39,148.86,142.89
jul-17,2017-07-01,127.26,155.36,149.45
ago-17,2017-08-01,128.24,157.97,151.84
sep-17,2017-09-01,124.47,153.51,149.24
oct-17,2017-10-01,120.01,145.02,143.31
nov-17,2017-11-01,117.26,145.63,142.3
dic-17,2017-12-01,113.93,144.35,137.78
ene-18,2018-01-01,115.6,147.35,139.51
feb-18,2018-02-01,114.19,145.93,136.26
mar-18,2018-03-01,112.99,143.1,134.98
abr-18,2018-04-01,112.56,143.89,133.76
may-18,2018-05-01,113.34,144.48,135.09
jun-18,2018-06-01,110.44,142.45,133.79
jul-18,2018-07-01,107.21,135.8,131.75
ago-18,2018-08-01,102.72,132.4,127.56
sep-18,2018-09-01,98.17,127.01,124.1
oct-18,2018-10-01,111.01,141.35,139.44
nov-18,2018-11-01,109.59,141.64,136.8
dic-18,2018-12-01,100.61,129.7,126.1
ene-19,2019-01-01,101.56,130.42,127.82
feb-19,2019-02-01,100.67,130.53,124.85
mar-19,2019-03-01,97.5,128.36,121.42
abr-19,2019-04-01,94.42,128.58,119.34
may-19,2019-05-01,93.33,128.42,119.45
jun-19,2019-06-01,99.97,137.01,129.18
jul-19,2019-07-01,103.01,140.06,134
ago-19,2019-08-01,96.07,133.51,123.93
sep-19,2019-09-01,97.74,136.05,127.04
oct-19,2019-10-01,97.35,135.91,127.03
nov-19,2019-11-01,107.23,150.59,139.34
dic-19,2019-12-01,117.37,165.35,156.84
ene-20,2020-01-01,106.89,152.26,141.33
feb-20,2020-02-01,102,156.26,133.09
mar-20,2020-03-01,109.05,169.7,144.8
abr-20,2020-04-01,108.91,172.11,148.06
may-20,2020-05-01,104.44,163.86,143.27
jun-20,2020-06-01,99.09,156.04,135.59
jul-20,2020-07-01,103.66,162.42,141.44
ago-20,2020-08-01,114.78,175.54,155.97
sep-20,2020-09-01,116.25,175.75,157.7
oct-20,2020-10-01,105.85,161.92,144.16
nov-20,2020-11-01,109.6,169.8,149.56
dic-20,2020-12-01,114.74,179.66,158.22
ene-21,2021-01-01,115.73,182.53,161.14
feb-21,2021-02-01,119.35,187.09,163.82
mar-21,2021-03-01,120.36,186.13,166.04
abr-21,2021-04-01,122.03,192.19,168.59
may-21,2021-05-01,134.78,207.84,187.33
jun-21,2021-06-01,141.02,215.41,194.8
jul-21,2021-07-01,152.24,227.29,207.21
ago-21,2021-08-01,160.14,228.95,220.7
sep-21,2021-09-01,170.02,248.61,229.46
oct-21,2021-10-01,181.57,270.27,243.13
nov-21,2021-11-01,195.17,291.93,262.48
dic-21,2021-12-01,203.06,302.82,273.66
ene-22,2022-01-01,204.29,307.28,277.88
feb-22,2022-02-01,210.89,319.63,288.15
mar-22,2022-03-01,194.78,299.63,266.74
abr-22,2022-04-01,198.37,308.39,270.9
may-22,2022-05-01,193.71,302.77,263.89
jun-22,2022-06-01,202.46,318.39,278.36
jul-22,2022-07-01,190.82,303.48,262.03
ago-22,2022-08-01,200.11,313.87,270.51
sep-22,2022-09-01,199.93,311.38,271.08
oct-22,2022-10-01,178.54,276.4,242
nov-22,2022-11-01,156.66,236.24,205.24
dic-22,2022-12-01,157.19,238.12,204.79
ene-23,2023-01-01,156.95,232.33,200.38
feb-23,2023-02-01,174.77,251.23,220.66
mar-23,2023-03-01,170.03,233.58,213.7
abr-23,2023-04-01,178.57,243.3,223.2
may-23,2023-05-01,175.48,234.26,216.82
jun-23,2023-06-01,171.25,215.95,206.18
jul-23,2023-07-01,158.88,193.93,185.96
ago-23,2023-08-01,154.53,193.05,179.95
sep-23,2023-09-01,153.13,191,176.66
oct-23,2023-10-01,151.94,191.08,178.92
nov-23,2023-11-01,161.53,198.98,191.54
dic-23,2023-12-01,175.73,213.62,206.61
ene-24,2024-01-01,176.41,209.29,200.54
feb-24,2024-02-01,182.04,211.1,207.37
mar-24,2024-03-01,186.39,212.24,207.55
abr-24,2024-04-01,216.89,242.11,241.37
may-24,2024-05-01,208.38,234.46,232.17
jun-24,2024-06-01,226.83,250.89,249.69
jul-24,2024-07-01,236.54,258.16,257.36
ago-24,2024-08-01,238.92,265.15,261.85
sep-24,2024-09-01,258.9,280.59,277.45
oct-24,2024-10-01,250.5,278.33,275.41
nov-24,2024-11-01,270.72,307,305.12
dic-24,2024-12-01,299.61,341.13,340.82
ene-25,2025-01-01,310.12,351.46,352.59
feb-25,2025-02-01,354.32,408.81,413.17
mar-25,2025-03-01,347.85,402.65,408.18
abr-25,2025-04-01,335.76,392.81,395.97
may-25,2025-05-01,334.41,394.49,397.12
jun-25,2025-06-01,295.06,360.02,360.16
jul-25,2025-07-01,259.31,323.13,321.31
ago-25,2025-08-01,297.05,369.14,363.39
sep-25,2025-09-01,324.62,407.09,399.18
oct-25,2025-10-01,326.38,404.35,401.73
nov-25,2025-11-01,330.44,409.89,407.19
dic-25,2025-12-01,304.68,383.85,380.22
ene-26,2026-01-01,296.89,374.85,367.1
feb-26,2026-02-01,267.57,335.82,324.09
mar-26,2026-03-01,273.7,340.34,333.46
