Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,01,2025-01-01,1129.0,0.2257,0.5984,0.0582343,0.4514,0.4424857
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,01,2025-01-17,1129.0,0.2353,0.5651,0.0523502,0.4275,0.4191563
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,02,2025-02-02,1129.0,0.1056,0.7298,0.1437926,0.5828,0.5116096
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,02,2025-02-18,1129.0,0.0796,0.6753,0.1057603,0.555,0.5132604
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,03,2025-03-06,1129.0,0.0966,0.6835,0.0981386,0.4438,0.4412892
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,03,2025-03-22,1129.0,0.1224,0.7066,0.0843633,0.5715,0.5570841
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,04,2025-04-07,1129.0,0.301,0.6608,0.069599,0.5054,0.5167584
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,04,2025-04-23,1129.0,0.0824,0.6936,0.0841526,0.5051,0.4998061
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,05,2025-05-09,1129.0,0.2019,0.5996,0.0596402,0.483,0.4729301
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,05,2025-05-25,1129.0,0.2258,0.602,0.0587095,0.482,0.474279
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,06,2025-06-10,1129.0,0.0987,0.6398,0.0930425,0.4344,0.4363822
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,06,2025-06-26,1129.0,0.2184,0.652,0.0563908,0.4367,0.4304509
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,07,2025-07-12,1129.0,0.1358,0.6149,0.0698087,0.4606,0.4593694
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,07,2025-07-28,1129.0,0.2509,0.6796,0.0672041,0.5278,0.514038
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,08,2025-08-13,1129.0,0.2376,0.6277,0.0727254,0.4423,0.4530165
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,08,2025-08-29,1129.0,0.1461,0.7114,0.1056641,0.5881,0.5445385
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,09,2025-09-14,1129.0,0.2218,0.76,0.1021997,0.585,0.551336
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,09,2025-09-30,1129.0,0.1926,0.6799,0.0941018,0.5173,0.5052391
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,10,2025-10-16,1129.0,0.2379,0.6267,0.0469748,0.52,0.5165906
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,11,2025-11-01,1129.0,0.1434,0.6326,0.0853527,0.4284,0.4244926
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,11,2025-11-17,1129.0,0.1836,0.6337,0.0638927,0.4242,0.4155431
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,12,2025-12-03,1129.0,0.1947,0.666,0.0836923,0.4242,0.4292484
BOYACA,MONIQUIRA,_500m_16_days_EVI,2025,12,2025-12-19,1129.0,0.2332,0.6313,0.0517157,0.4431,0.4466802
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,01,2025-01-01,1129.0,0.3983,0.8504,0.0393423,0.7944,0.7874604
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,01,2025-01-17,1129.0,0.4509,0.8555,0.038028,0.7973,0.7933969
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,02,2025-02-02,1129.0,0.1114,0.8874,0.1375957,0.7317,0.6858904
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,02,2025-02-18,1129.0,0.1677,0.8576,0.1009645,0.7159,0.688465
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,03,2025-03-06,1129.0,0.1168,0.8633,0.1119786,0.7764,0.7430156
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,03,2025-03-22,1129.0,0.1679,0.8338,0.0552862,0.7406,0.7319491
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,04,2025-04-07,1129.0,0.4331,0.8093,0.0326976,0.7519,0.747492
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,04,2025-04-23,1129.0,0.0883,0.8795,0.097145,0.7586,0.7358945
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,05,2025-05-09,1129.0,0.3702,0.8821,0.0518866,0.7833,0.7727505
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,05,2025-05-25,1129.0,0.3614,0.8604,0.06201,0.7828,0.7691106
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,06,2025-06-10,1129.0,0.1059,0.8798,0.0786432,0.8212,0.7947895
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,06,2025-06-26,1129.0,0.4087,0.8622,0.0383371,0.8012,0.7953923
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,07,2025-07-12,1129.0,0.1716,0.8629,0.0757073,0.7718,0.760776
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,07,2025-07-28,1129.0,0.4828,0.8409,0.0373529,0.7746,0.7706815
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,08,2025-08-13,1129.0,0.3856,0.8667,0.0467467,0.7671,0.7560857
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,08,2025-08-29,1129.0,0.265,0.9196,0.057132,0.7488,0.7551074
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,09,2025-09-14,1129.0,0.3894,0.8709,0.0490675,0.7221,0.7240102
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,09,2025-09-30,1129.0,0.2694,0.9097,0.0626884,0.7439,0.749355
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,10,2025-10-16,1129.0,0.463,0.8054,0.0352519,0.7041,0.7032611
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,11,2025-11-01,1129.0,0.3079,0.8639,0.0561196,0.7846,0.7689639
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,11,2025-11-17,1129.0,0.3305,0.8661,0.0415754,0.8063,0.7983343
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,12,2025-12-03,1129.0,0.4223,0.8555,0.0418079,0.7941,0.7848232
BOYACA,MONIQUIRA,_500m_16_days_NDVI,2025,12,2025-12-19,1129.0,0.4477,0.8705,0.0407792,0.8091,0.8004585
