Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,01,2025-01-01,399.0,0.1334,0.6877,0.0841512,0.4304,0.4292857
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,01,2025-01-17,399.0,0.3251,0.5197,0.0292686,0.405,0.4063855
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,02,2025-02-02,399.0,0.1325,0.665,0.1415662,0.5032,0.4370276
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,02,2025-02-18,399.0,0.1375,0.6233,0.1047242,0.4432,0.4373361
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,03,2025-03-06,399.0,0.158,0.612,0.0709054,0.4165,0.4219644
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,03,2025-03-22,399.0,0.3701,0.6621,0.0534667,0.4622,0.4711318
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,04,2025-04-07,399.0,0.3713,0.6546,0.0697386,0.4925,0.5002444
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,04,2025-04-23,399.0,0.1647,0.6449,0.0760667,0.5416,0.5228692
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,05,2025-05-09,399.0,0.3257,0.6133,0.0495756,0.4896,0.4859393
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,05,2025-05-25,399.0,0.3745,0.5589,0.0370319,0.4682,0.468297
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,06,2025-06-10,399.0,0.4068,0.6414,0.0457269,0.56,0.5558351
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,06,2025-06-26,399.0,0.2893,0.5454,0.0363624,0.443,0.4414376
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,07,2025-07-12,399.0,0.3501,0.537,0.0313017,0.4282,0.4324188
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,07,2025-07-28,399.0,0.3567,0.637,0.0530437,0.5261,0.5183208
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,08,2025-08-13,399.0,0.1338,0.6428,0.0842648,0.4977,0.4901549
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,08,2025-08-29,399.0,0.356,0.6798,0.0721326,0.4199,0.4493662
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,09,2025-09-14,399.0,0.2605,0.7414,0.0460532,0.5988,0.5985822
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,09,2025-09-30,399.0,0.1416,0.6449,0.0901066,0.4948,0.4821223
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,10,2025-10-16,399.0,0.3195,0.6732,0.0480405,0.5234,0.5243571
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,11,2025-11-01,399.0,0.2588,0.6435,0.0744753,0.4583,0.4737895
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,11,2025-11-17,399.0,0.1515,0.6456,0.0685197,0.4331,0.448682
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,12,2025-12-03,399.0,0.1714,0.6472,0.0618277,0.4616,0.4629539
BOYACA,SAN JOSE DE PARE,_500m_16_days_EVI,2025,12,2025-12-19,399.0,0.1553,0.6868,0.0804791,0.4193,0.4508694
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,01,2025-01-01,399.0,0.1708,0.863,0.0973018,0.7575,0.7346383
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,01,2025-01-17,399.0,0.6433,0.8569,0.031693,0.7771,0.7768707
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,02,2025-02-02,399.0,0.1238,0.842,0.1551594,0.6638,0.6060945
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,02,2025-02-18,399.0,0.2112,0.8339,0.1066444,0.6897,0.670418
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,03,2025-03-06,399.0,0.2483,0.8301,0.0928073,0.736,0.7122997
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,03,2025-03-22,399.0,0.5134,0.8144,0.0384335,0.7298,0.7294561
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,04,2025-04-07,399.0,0.46,0.8349,0.0423341,0.7363,0.735893
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,04,2025-04-23,399.0,0.3941,0.86,0.0636397,0.7392,0.7300183
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,05,2025-05-09,399.0,0.5754,0.8616,0.0433737,0.7562,0.7563063
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,05,2025-05-25,399.0,0.5839,0.8623,0.0356174,0.7821,0.7813316
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,06,2025-06-10,399.0,0.6954,0.8586,0.0298781,0.7578,0.7603822
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,06,2025-06-26,399.0,0.5618,0.8805,0.0442891,0.7834,0.7790276
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,07,2025-07-12,399.0,0.6514,0.8815,0.0353361,0.8007,0.7997586
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,07,2025-07-28,399.0,0.6436,0.8388,0.0344631,0.767,0.7639409
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,08,2025-08-13,399.0,0.1581,0.8284,0.0603211,0.7415,0.7274549
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,08,2025-08-29,399.0,0.5994,0.8814,0.0478125,0.7961,0.7881632
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,09,2025-09-14,399.0,0.6393,0.8378,0.0294471,0.6986,0.7015125
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,09,2025-09-30,399.0,0.1553,0.8723,0.1021999,0.7275,0.7185937
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,10,2025-10-16,399.0,0.4388,0.8228,0.0461015,0.7155,0.7154183
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,11,2025-11-01,399.0,0.4596,0.8477,0.0475315,0.7579,0.754082
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,11,2025-11-17,399.0,0.2891,0.864,0.0682532,0.7688,0.7565559
BOYACA,SAN JOSE DE PARE,_500m_16_days_NDVI,2025,12,2025-12-03,399.0,0.4665,0.8608,0.0405288,0.7669,0.7628692
