Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
BOYACA,SANTANA,_500m_16_days_EVI,2025,01,2025-01-01,392.0,0.1611,0.6783,0.0941422,0.43375,0.4516
BOYACA,SANTANA,_500m_16_days_EVI,2025,01,2025-01-17,392.0,0.3022,0.4819,0.0303755,0.39615,0.3986671
BOYACA,SANTANA,_500m_16_days_EVI,2025,02,2025-02-02,392.0,0.0745,0.6499,0.1214413,0.49785,0.4510357
BOYACA,SANTANA,_500m_16_days_EVI,2025,02,2025-02-18,392.0,0.116,0.5644,0.0641612,0.40725,0.392713
BOYACA,SANTANA,_500m_16_days_EVI,2025,03,2025-03-06,392.0,0.1349,0.6144,0.0733381,0.4295,0.4316446
BOYACA,SANTANA,_500m_16_days_EVI,2025,03,2025-03-22,392.0,0.3814,0.6572,0.0595646,0.47865,0.4948908
BOYACA,SANTANA,_500m_16_days_EVI,2025,04,2025-04-07,392.0,0.3269,0.7092,0.0867155,0.5302,0.5050526
BOYACA,SANTANA,_500m_16_days_EVI,2025,04,2025-04-23,392.0,0.2098,0.7222,0.0874733,0.47245,0.4812788
BOYACA,SANTANA,_500m_16_days_EVI,2025,05,2025-05-09,392.0,0.2767,0.6166,0.0651214,0.4548,0.4553319
BOYACA,SANTANA,_500m_16_days_EVI,2025,05,2025-05-25,392.0,0.2788,0.5839,0.0435515,0.4567,0.4602528
BOYACA,SANTANA,_500m_16_days_EVI,2025,06,2025-06-10,392.0,0.2779,0.677,0.05147,0.5641,0.5606306
BOYACA,SANTANA,_500m_16_days_EVI,2025,06,2025-06-26,392.0,0.2303,0.621,0.0507324,0.4346,0.4372722
BOYACA,SANTANA,_500m_16_days_EVI,2025,07,2025-07-12,392.0,0.346,0.6509,0.0616722,0.4337,0.4496173
BOYACA,SANTANA,_500m_16_days_EVI,2025,07,2025-07-28,392.0,0.2537,0.6512,0.0709871,0.509,0.5056954
BOYACA,SANTANA,_500m_16_days_EVI,2025,08,2025-08-13,392.0,0.2572,0.653,0.0532906,0.44265,0.4446423
BOYACA,SANTANA,_500m_16_days_EVI,2025,08,2025-08-29,392.0,0.3177,0.6308,0.0550449,0.4266,0.4362939
BOYACA,SANTANA,_500m_16_days_EVI,2025,09,2025-09-14,392.0,0.3811,0.7718,0.0568045,0.6182,0.6183071
BOYACA,SANTANA,_500m_16_days_EVI,2025,09,2025-09-30,392.0,0.1916,0.6696,0.089337,0.54125,0.5108436
BOYACA,SANTANA,_500m_16_days_EVI,2025,10,2025-10-16,392.0,0.3535,0.6762,0.0569411,0.51775,0.5246689
BOYACA,SANTANA,_500m_16_days_EVI,2025,11,2025-11-01,392.0,0.2891,0.5769,0.0358443,0.41605,0.4189304
BOYACA,SANTANA,_500m_16_days_EVI,2025,11,2025-11-17,392.0,0.1381,0.6644,0.1030187,0.48315,0.4680653
BOYACA,SANTANA,_500m_16_days_EVI,2025,12,2025-12-03,392.0,0.3538,0.6608,0.0560923,0.478,0.4817495
