Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
BOYACA,TOGUI,_500m_16_days_EVI,2025,01,2025-01-01,635.0,0.1205,0.7135,0.0760298,0.4259,0.4191151
BOYACA,TOGUI,_500m_16_days_EVI,2025,01,2025-01-17,635.0,0.2341,0.6129,0.0572849,0.406,0.3987764
BOYACA,TOGUI,_500m_16_days_EVI,2025,02,2025-02-02,635.0,0.0762,0.6506,0.1664234,0.4512,0.4351176
BOYACA,TOGUI,_500m_16_days_EVI,2025,02,2025-02-18,635.0,0.0985,0.6398,0.1256648,0.5261,0.4809055
BOYACA,TOGUI,_500m_16_days_EVI,2025,03,2025-03-06,635.0,0.1313,0.6665,0.1037307,0.4362,0.4325668
BOYACA,TOGUI,_500m_16_days_EVI,2025,03,2025-03-22,635.0,0.1236,0.6865,0.0867922,0.5284,0.527782
BOYACA,TOGUI,_500m_16_days_EVI,2025,04,2025-04-07,635.0,0.3018,0.6234,0.0585955,0.4548,0.4607398
BOYACA,TOGUI,_500m_16_days_EVI,2025,04,2025-04-23,635.0,0.1042,0.6656,0.1271284,0.5281,0.4813472
BOYACA,TOGUI,_500m_16_days_EVI,2025,05,2025-05-09,635.0,0.1785,0.5836,0.0662423,0.4639,0.4539294
BOYACA,TOGUI,_500m_16_days_EVI,2025,05,2025-05-25,635.0,0.2046,0.5884,0.0623456,0.4442,0.4381124
BOYACA,TOGUI,_500m_16_days_EVI,2025,06,2025-06-10,635.0,0.1793,0.6265,0.0769087,0.4065,0.3942605
BOYACA,TOGUI,_500m_16_days_EVI,2025,06,2025-06-26,635.0,0.1503,0.6888,0.0666314,0.4092,0.4006132
BOYACA,TOGUI,_500m_16_days_EVI,2025,07,2025-07-12,635.0,0.2645,0.5921,0.0528135,0.4499,0.4527293
BOYACA,TOGUI,_500m_16_days_EVI,2025,07,2025-07-28,635.0,0.2051,0.6604,0.0657011,0.5205,0.5101334
BOYACA,TOGUI,_500m_16_days_EVI,2025,08,2025-08-13,635.0,0.2119,0.6656,0.1043739,0.428,0.4488611
BOYACA,TOGUI,_500m_16_days_EVI,2025,08,2025-08-29,635.0,0.2228,0.6741,0.1058782,0.4447,0.4683765
BOYACA,TOGUI,_500m_16_days_EVI,2025,09,2025-09-14,635.0,0.1752,0.76,0.0956421,0.6291,0.6057263
BOYACA,TOGUI,_500m_16_days_EVI,2025,09,2025-09-30,635.0,0.1416,0.6521,0.1240234,0.4809,0.4670041
BOYACA,TOGUI,_500m_16_days_EVI,2025,10,2025-10-16,635.0,0.3322,0.64,0.0477527,0.5085,0.5075537
BOYACA,TOGUI,_500m_16_days_EVI,2025,11,2025-11-01,635.0,0.237,0.6435,0.109582,0.4862,0.4473861
BOYACA,TOGUI,_500m_16_days_EVI,2025,11,2025-11-17,635.0,0.2288,0.815,0.0753184,0.4079,0.3998184
BOYACA,TOGUI,_500m_16_days_EVI,2025,12,2025-12-03,635.0,0.1277,0.6408,0.0917609,0.4461,0.441554
BOYACA,TOGUI,_500m_16_days_EVI,2025,12,2025-12-19,635.0,0.2183,0.6868,0.0774949,0.4347,0.4445819
BOYACA,TOGUI,_500m_16_days_NDVI,2025,01,2025-01-01,635.0,0.1708,0.8678,0.0738334,0.7866,0.773429
BOYACA,TOGUI,_500m_16_days_NDVI,2025,01,2025-01-17,635.0,0.6851,0.8731,0.0304869,0.7951,0.7975009
BOYACA,TOGUI,_500m_16_days_NDVI,2025,02,2025-02-02,635.0,0.1238,0.9135,0.1748692,0.7022,0.6306373
BOYACA,TOGUI,_500m_16_days_NDVI,2025,02,2025-02-18,635.0,0.1545,0.8816,0.129518,0.7102,0.6635567
BOYACA,TOGUI,_500m_16_days_NDVI,2025,03,2025-03-06,635.0,0.1553,0.9113,0.123577,0.7642,0.7337984
BOYACA,TOGUI,_500m_16_days_NDVI,2025,03,2025-03-22,635.0,0.1679,0.8525,0.0729976,0.7353,0.7279249
BOYACA,TOGUI,_500m_16_days_NDVI,2025,04,2025-04-07,635.0,0.46,0.8625,0.0339156,0.7607,0.7572998
BOYACA,TOGUI,_500m_16_days_NDVI,2025,04,2025-04-23,635.0,0.1144,0.887,0.1390638,0.7556,0.7075008
BOYACA,TOGUI,_500m_16_days_NDVI,2025,05,2025-05-09,635.0,0.3517,0.8821,0.0562385,0.7777,0.7687589
BOYACA,TOGUI,_500m_16_days_NDVI,2025,05,2025-05-25,635.0,0.5892,0.8688,0.0387638,0.7905,0.7890781
BOYACA,TOGUI,_500m_16_days_NDVI,2025,06,2025-06-10,635.0,0.3012,0.9065,0.0477509,0.8271,0.8169077
BOYACA,TOGUI,_500m_16_days_NDVI,2025,06,2025-06-26,635.0,0.4977,0.8809,0.0411164,0.799,0.7975513
BOYACA,TOGUI,_500m_16_days_NDVI,2025,07,2025-07-12,635.0,0.6223,0.8787,0.0457559,0.7547,0.7566899
BOYACA,TOGUI,_500m_16_days_NDVI,2025,07,2025-07-28,635.0,0.6609,0.8572,0.0360954,0.7794,0.7782197
BOYACA,TOGUI,_500m_16_days_NDVI,2025,08,2025-08-13,635.0,0.322,0.8667,0.0424484,0.7533,0.7501164
BOYACA,TOGUI,_500m_16_days_NDVI,2025,08,2025-08-29,635.0,0.6165,0.9095,0.0517972,0.7995,0.7907313
BOYACA,TOGUI,_500m_16_days_NDVI,2025,09,2025-09-14,635.0,0.2967,0.8329,0.0407086,0.7378,0.7332063
BOYACA,TOGUI,_500m_16_days_NDVI,2025,09,2025-09-30,635.0,0.1553,0.9695,0.0862221,0.7441,0.7480241
BOYACA,TOGUI,_500m_16_days_NDVI,2025,10,2025-10-16,635.0,0.4709,0.8273,0.0554722,0.7028,0.7147663
BOYACA,TOGUI,_500m_16_days_NDVI,2025,11,2025-11-01,635.0,0.5453,0.8719,0.0480275,0.7658,0.7660137
BOYACA,TOGUI,_500m_16_days_NDVI,2025,11,2025-11-17,635.0,0.5147,0.8954,0.0529785,0.7986,0.7842449
BOYACA,TOGUI,_500m_16_days_NDVI,2025,12,2025-12-03,635.0,0.1282,0.863,0.0684895,0.7779,0.7630117
BOYACA,TOGUI,_500m_16_days_NDVI,2025,12,2025-12-19,635.0,0.669,0.8776,0.0308773,0.8049,0.8035531
