municipio;departamento;valid_time;latitude;longitude;t2m;d2m;tp;ssrd;e;stl1
Aguada;Santander;2025-01-01;6.25;-73.5;20.176666;16.943268;0.0015029907;19748864.0;-0.0032596402;19.605865
Aguada;Santander;2025-02-01;6.25;-73.5;20.536774;17.6315;0.0050315857;18513920.0;-0.0030286424;20.511139
Aguada;Santander;2025-03-01;6.25;-73.5;20.169586;17.865143;0.0051136017;17980144.0;-0.0032338165;20.121246
Aguada;Santander;2025-04-01;6.25;-73.5;20.608307;18.18863;0.008655548;17493504.0;-0.0033222102;20.472076
Aguada;Santander;2025-05-01;6.25;-73.5;20.382233;18.049225;0.01361084;16358400.0;-0.003237471;20.189117
Aguada;Santander;2025-06-01;6.25;-73.5;20.187164;17.873444;0.009231567;16981504.0;-0.0033041015;20.071198
Aguada;Santander;2025-07-01;6.25;-73.5;20.329254;17.508453;0.0059719086;19373568.0;-0.003723245;20.156158
Aguada;Santander;2025-08-01;6.25;-73.5;20.099518;17.326569;0.005367279;19213824.0;-0.0036796406;19.986237
Aguada;Santander;2025-09-01;6.25;-73.5;20.028717;17.417389;0.0064792633;19077710.0;-0.0036002137;20.159088
Aguada;Santander;2025-10-01;6.25;-73.5;19.649078;17.321442;0.010404587;17488384.0;-0.0034077428;20.01529
Aguada;Santander;2025-11-01;6.25;-73.5;20.037018;17.697906;0.0073280334;16020480.0;-0.0030950196;20.016266
Aguada;Santander;2025-12-01;6.25;-73.5;19.805817;16.87735;0.0028123856;17638400.0;-0.003173679;19.576813
Barbosa;Santander;2025-01-01;6.0;-73.625;17.549866;14.554718;0.003911972;19165184.0;-0.003346663;17.209473
Barbosa;Santander;2025-02-01;6.0;-73.625;17.67276;15.729248;0.0075645447;17409280.0;-0.0031762235;17.7388
Barbosa;Santander;2025-03-01;6.0;-73.625;17.584839;15.535309;0.008876801;17170160.0;-0.0031787418;17.754242
Barbosa;Santander;2025-04-01;6.0;-73.625;18.075317;15.876221;0.015295029;16517376.0;-0.0032159947;18.115631
Barbosa;Santander;2025-05-01;6.0;-73.625;18.03946;15.600098;0.017691612;15800320.0;-0.0031514019;17.955902
Barbosa;Santander;2025-06-01;6.0;-73.625;17.92163;15.20459;0.016161919;16514048.0;-0.0032902732;17.905304
Barbosa;Santander;2025-07-01;6.0;-73.625;18.132233;14.576965;0.01411438;18783232.0;-0.0036822371;18.021484
Barbosa;Santander;2025-08-01;6.0;-73.625;17.782318;14.515167;0.01292038;18686464.0;-0.0035997704;17.831146
Barbosa;Santander;2025-09-01;6.0;-73.625;17.811127;14.734955;0.014537811;18491984.0;-0.0035580136;17.96402
Barbosa;Santander;2025-10-01;6.0;-73.625;17.303528;15.05011;0.016216278;16736768.0;-0.0032619499;17.70401
Barbosa;Santander;2025-11-01;6.0;-73.625;17.680573;15.419739;0.011004448;15565312.0;-0.0029810555;17.727203
