municipio;departamento;valid_time;latitude;longitude;t2m;d2m;tp;ssrd;e;stl1
Aguada;Santander;2007-01-01;6.25;-73.5;19.88;17.33;0.003035;19695616.0;-0.003521;19.87
Aguada;Santander;2007-02-01;6.25;-73.5;20.12;15.81;0.001815;21928960.0;-0.003488;19.91
Aguada;Santander;2007-03-01;6.25;-73.5;19.73;16.95;0.006403;18465420.0;-0.003071;20.23
Aguada;Santander;2007-04-01;6.25;-73.5;19.9;17.93;0.009323;17741312.0;-0.003397;19.96
Aguada;Santander;2007-05-01;6.25;-73.5;19.52;17.89;0.012302;16617984.0;-0.00325;19.76
Aguada;Santander;2007-06-01;6.25;-73.5;19.34;17.38;0.005037;18264064.0;-0.003412;19.42
Aguada;Santander;2007-07-01;6.25;-73.5;19.21;16.96;0.004225;19318272.0;-0.003593;19.37
Aguada;Santander;2007-08-01;6.25;-73.5;19.05;17.01;0.006344;18137088.0;-0.003426;19.19
Aguada;Santander;2007-09-01;6.25;-73.5;19.21;17.12;0.006081;19510394.0;-0.003637;19.45
Aguada;Santander;2007-10-01;6.25;-73.5;18.8;17.07;0.008461;17109504.0;-0.003299;19.17
Aguada;Santander;2007-11-01;6.25;-73.5;19.16;17.22;0.008144;17307648.0;-0.003232;19.16
Aguada;Santander;2007-12-01;6.25;-73.5;18.55;16.48;0.004064;16700416.0;-0.003005;18.44
Aguada;Santander;2008-01-01;6.25;-73.5;19.03;16.57;0.002474;18495488.0;-0.003169;18.88
Aguada;Santander;2008-02-01;6.25;-73.5;19.15;16.4;0.003201;19500032.0;-0.003174;19.13
Aguada;Santander;2008-03-01;6.25;-73.5;19.23;16.53;0.003477;19867036.0;-0.003178;19.36
Aguada;Santander;2008-04-01;6.25;-73.5;19.28;16.92;0.006443;18302464.0;-0.003275;19.41
Aguada;Santander;2008-05-01;6.25;-73.5;19.33;17.32;0.007874;16815104.0;-0.003205;19.31
Aguada;Santander;2008-06-01;6.25;-73.5;19.29;17.43;0.008627;17587200.0;-0.003308;19.31
Aguada;Santander;2008-07-01;6.25;-73.5;19.25;17.05;0.006174;18056192.0;-0.003386;19.24
Aguada;Santander;2008-08-01;6.25;-73.5;18.99;16.97;0.006428;18213888.0;-0.003404;19.14
Aguada;Santander;2008-09-01;6.25;-73.5;19.3;17.02;0.005951;19016648.0;-0.00353;19.41
Aguada;Santander;2008-10-01;6.25;-73.5;19.22;17.01;0.006138;17972736.0;-0.003351;19.21
Aguada;Santander;2008-11-01;6.25;-73.5;19.08;17.25;0.010017;14499840.0;-0.002762;18.93
Aguada;Santander;2008-12-01;6.25;-73.5;19.07;16.36;0.00248;17043456.0;-0.003011;18.67
Aguada;Santander;2009-01-01;6.25;-73.5;19.11;16.76;0.003879;17347584.0;-0.002993;18.98
Aguada;Santander;2009-02-01;6.25;-73.5;19.07;16.63;0.004276;19025920.0;-0.00321;19.24
Aguada;Santander;2009-03-01;6.25;-73.5;19.12;16.89;0.006516;18652464.0;-0.003364;19.41
Aguada;Santander;2009-04-01;6.25;-73.5;19.77;17.63;0.008047;19242496.0;-0.003552;19.84
Aguada;Santander;2009-05-01;6.25;-73.5;19.84;17.65;0.007639;18455552.0;-0.00351;19.82
