Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,AGUADA,_500m_16_days_EVI,2025,01,2025-01-01,339.0,0.1435,0.6589,0.081904,0.457,0.449767
SANTANDER,AGUADA,_500m_16_days_EVI,2025,01,2025-01-17,339.0,0.3034,0.5097,0.0353848,0.4115,0.4118829
SANTANDER,AGUADA,_500m_16_days_EVI,2025,02,2025-02-02,339.0,0.1283,0.639,0.0900753,0.4407,0.4411516
SANTANDER,AGUADA,_500m_16_days_EVI,2025,02,2025-02-18,339.0,0.0777,0.5739,0.0991741,0.3518,0.3369307
SANTANDER,AGUADA,_500m_16_days_EVI,2025,03,2025-03-06,339.0,0.0921,0.7472,0.1569414,0.4042,0.4193413
SANTANDER,AGUADA,_500m_16_days_EVI,2025,03,2025-03-22,339.0,0.2153,0.6884,0.0712873,0.4792,0.4992192
SANTANDER,AGUADA,_500m_16_days_EVI,2025,04,2025-04-07,339.0,0.2923,0.682,0.0470864,0.569,0.5697295
SANTANDER,AGUADA,_500m_16_days_EVI,2025,04,2025-04-23,339.0,0.0586,0.6672,0.1237184,0.5474,0.510928
SANTANDER,AGUADA,_500m_16_days_EVI,2025,05,2025-05-09,339.0,0.3315,0.661,0.0513761,0.5054,0.5144206
SANTANDER,AGUADA,_500m_16_days_EVI,2025,05,2025-05-25,339.0,0.3067,0.6211,0.0439754,0.486,0.4926121
SANTANDER,AGUADA,_500m_16_days_EVI,2025,06,2025-06-10,339.0,0.2622,0.7341,0.0884298,0.5687,0.5529121
SANTANDER,AGUADA,_500m_16_days_EVI,2025,06,2025-06-26,339.0,0.3352,0.6957,0.0600748,0.453,0.4678758
SANTANDER,AGUADA,_500m_16_days_EVI,2025,07,2025-07-12,339.0,0.3297,0.608,0.04229,0.4364,0.4409254
SANTANDER,AGUADA,_500m_16_days_EVI,2025,07,2025-07-28,339.0,0.392,0.7166,0.059444,0.5965,0.5914499
SANTANDER,AGUADA,_500m_16_days_EVI,2025,08,2025-08-13,339.0,0.3609,0.7079,0.0717317,0.521,0.4978687
SANTANDER,AGUADA,_500m_16_days_EVI,2025,08,2025-08-29,339.0,0.2895,0.6917,0.0691938,0.4441,0.4637298
SANTANDER,AGUADA,_500m_16_days_EVI,2025,09,2025-09-14,339.0,0.363,0.7229,0.0808877,0.4491,0.4778056
SANTANDER,AGUADA,_500m_16_days_EVI,2025,09,2025-09-30,339.0,0.3555,0.6914,0.0533948,0.4308,0.4367861
SANTANDER,AGUADA,_500m_16_days_EVI,2025,10,2025-10-16,339.0,0.4159,0.6758,0.0484914,0.5698,0.5661705
SANTANDER,AGUADA,_500m_16_days_EVI,2025,11,2025-11-01,339.0,0.2629,0.5686,0.0408682,0.4573,0.4563136
SANTANDER,AGUADA,_500m_16_days_EVI,2025,11,2025-11-17,339.0,0.2454,0.6666,0.0674583,0.4931,0.4917074
SANTANDER,AGUADA,_500m_16_days_EVI,2025,12,2025-12-03,339.0,0.1954,0.6644,0.0727894,0.5248,0.5160086
SANTANDER,AGUADA,_500m_16_days_EVI,2025,12,2025-12-19,339.0,0.3264,0.7533,0.0861116,0.5317,0.5269864
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,01,2025-01-01,339.0,0.192,0.8627,0.093441,0.7603,0.7397655
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,01,2025-01-17,339.0,0.6009,0.8922,0.0498056,0.7712,0.771428
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,02,2025-02-02,339.0,0.2025,0.8939,0.1441165,0.674,0.6552283
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,02,2025-02-18,339.0,0.1154,0.8557,0.1718563,0.5247,0.5239838
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,03,2025-03-06,339.0,0.1226,0.8481,0.1865489,0.6897,0.6120525
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,03,2025-03-22,339.0,0.229,0.8558,0.0602168,0.7354,0.7330764
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,04,2025-04-07,339.0,0.606,0.8284,0.0337862,0.7436,0.7411652
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,04,2025-04-23,339.0,0.0849,0.8411,0.1594317,0.7503,0.6936926
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,05,2025-05-09,339.0,0.6414,0.8561,0.0296119,0.791,0.7855493
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,05,2025-05-25,339.0,0.6793,0.8734,0.0284267,0.8023,0.798669
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,06,2025-06-10,339.0,0.4691,0.8869,0.0532274,0.7838,0.7827375
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,06,2025-06-26,339.0,0.5399,0.8887,0.0401565,0.8063,0.7984752
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,07,2025-07-12,339.0,0.7195,0.8968,0.0254493,0.8283,0.8239466
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,07,2025-07-28,339.0,0.6447,0.8574,0.0268034,0.7703,0.7682029
SANTANDER,AGUADA,_500m_16_days_NDVI,2025,08,2025-08-13,339.0,0.6484,0.9051,0.0494083,0.7235,0.7315944
