Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,01,2025-01-01,266.0,0.2372,0.6787,0.0645865,0.4858,0.4870594
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,01,2025-01-17,266.0,0.1974,0.5197,0.0444359,0.4392,0.4352759
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,02,2025-02-02,266.0,0.1364,0.6425,0.1080325,0.533,0.5015271
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,02,2025-02-18,266.0,0.2967,0.5942,0.0542841,0.543,0.5235865
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,03,2025-03-06,266.0,0.1739,0.6392,0.0676916,0.4446,0.456218
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,03,2025-03-22,266.0,0.2065,0.5631,0.0477108,0.47565,0.468588
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,04,2025-04-07,266.0,0.2438,0.624,0.0688154,0.5468,0.5271726
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,04,2025-04-23,266.0,0.1613,0.6152,0.0718899,0.45725,0.4484921
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,05,2025-05-09,266.0,0.2139,0.5799,0.0568945,0.4878,0.4778767
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,05,2025-05-25,266.0,0.1882,0.5539,0.0496389,0.49065,0.4792962
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,06,2025-06-10,266.0,0.2389,0.6165,0.0546164,0.5617,0.5501541
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,06,2025-06-26,266.0,0.1901,0.5348,0.0486728,0.4619,0.455959
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,07,2025-07-12,266.0,0.1841,0.5629,0.0561534,0.4593,0.45405
SANTANDER,BARBOSA,_500m_16_days_EVI,2025,07,2025-07-28,266.0,0.1906,0.6646,0.074904,0.5406,0.5200064
