Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,CHARALA,_500m_16_days_EVI,2025,01,2025-01-01,2071.0,0.0495,0.7469,0.1145289,0.4805,0.4732847
SANTANDER,CHARALA,_500m_16_days_EVI,2025,01,2025-01-17,2071.0,0.1471,0.7272,0.0910693,0.429,0.4293999
SANTANDER,CHARALA,_500m_16_days_EVI,2025,02,2025-02-02,2071.0,0.0549,0.7417,0.1400482,0.4529,0.4354415
SANTANDER,CHARALA,_500m_16_days_EVI,2025,02,2025-02-18,2071.0,0.0596,0.8738,0.1464912,0.4871,0.4527223
SANTANDER,CHARALA,_500m_16_days_EVI,2025,03,2025-03-06,2071.0,0.0639,0.7955,0.1455844,0.4991,0.4570977
SANTANDER,CHARALA,_500m_16_days_EVI,2025,03,2025-03-22,2071.0,0.0623,0.7268,0.1234353,0.5141,0.5048106
SANTANDER,CHARALA,_500m_16_days_EVI,2025,04,2025-04-07,2071.0,0.0721,0.7336,0.1197146,0.4861,0.4683535
SANTANDER,CHARALA,_500m_16_days_EVI,2025,04,2025-04-23,2071.0,0.0521,0.7123,0.126808,0.5368,0.5015922
SANTANDER,CHARALA,_500m_16_days_EVI,2025,05,2025-05-09,2071.0,0.0606,0.7149,0.1378322,0.5276,0.4875854
SANTANDER,CHARALA,_500m_16_days_EVI,2025,05,2025-05-25,2071.0,0.1556,0.6557,0.0656091,0.4898,0.480625
SANTANDER,CHARALA,_500m_16_days_EVI,2025,06,2025-06-10,2071.0,0.0977,0.6803,0.1190407,0.4009,0.3774049
SANTANDER,CHARALA,_500m_16_days_EVI,2025,06,2025-06-26,2071.0,0.1235,0.7334,0.1010264,0.484,0.4714507
SANTANDER,CHARALA,_500m_16_days_EVI,2025,07,2025-07-12,2071.0,0.075,0.6866,0.0962242,0.4514,0.4332736
SANTANDER,CHARALA,_500m_16_days_EVI,2025,07,2025-07-28,2071.0,0.1858,0.7178,0.0904437,0.5515,0.540048
SANTANDER,CHARALA,_500m_16_days_EVI,2025,08,2025-08-13,2071.0,0.1769,0.7449,0.0964396,0.5226,0.5212821
SANTANDER,CHARALA,_500m_16_days_EVI,2025,08,2025-08-29,2071.0,0.1169,0.7475,0.1240954,0.4713,0.4803565
SANTANDER,CHARALA,_500m_16_days_EVI,2025,09,2025-09-14,2071.0,0.1052,0.722,0.0978633,0.4717,0.4630417
SANTANDER,CHARALA,_500m_16_days_EVI,2025,09,2025-09-30,2071.0,0.1142,0.8432,0.1402747,0.5426,0.4860364
SANTANDER,CHARALA,_500m_16_days_EVI,2025,10,2025-10-16,2071.0,0.1472,0.7092,0.0712374,0.5726,0.5584501
SANTANDER,CHARALA,_500m_16_days_EVI,2025,11,2025-11-01,2071.0,0.1045,0.6872,0.098335,0.4671,0.4547071
SANTANDER,CHARALA,_500m_16_days_EVI,2025,11,2025-11-17,2071.0,0.0794,0.8113,0.1246568,0.4477,0.4326968
SANTANDER,CHARALA,_500m_16_days_EVI,2025,12,2025-12-03,2071.0,0.0934,0.7428,0.1051578,0.5169,0.4959266
SANTANDER,CHARALA,_500m_16_days_EVI,2025,12,2025-12-19,2071.0,0.0887,0.7711,0.1104679,0.4731,0.4738734
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,01,2025-01-01,2071.0,0.0678,0.8962,0.0898294,0.8029,0.7809264
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,01,2025-01-17,2071.0,0.5313,0.9017,0.0434408,0.8082,0.8084059
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,02,2025-02-02,2071.0,0.0743,0.9203,0.176447,0.7093,0.6486072
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,02,2025-02-18,2071.0,0.0818,0.9352,0.1582299,0.7384,0.6834099
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,03,2025-03-06,2071.0,0.0699,0.9137,0.1828234,0.7533,0.6826996
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,03,2025-03-22,2071.0,0.0762,0.8968,0.1477244,0.7567,0.7145592
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,04,2025-04-07,2071.0,0.0839,0.8937,0.1499456,0.7876,0.7300242
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,04,2025-04-23,2071.0,0.056,0.8818,0.1665176,0.7537,0.6898323
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,05,2025-05-09,2071.0,0.0878,0.9229,0.1377448,0.7665,0.7219258
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,05,2025-05-25,2071.0,0.234,0.8937,0.0503839,0.816,0.8097169
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,06,2025-06-10,2071.0,0.1132,0.9357,0.2046482,0.7725,0.6880035
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,06,2025-06-26,2071.0,0.1709,0.9168,0.0822974,0.8226,0.804868
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,07,2025-07-12,2071.0,0.0918,0.9427,0.1276243,0.8254,0.788483
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,07,2025-07-28,2071.0,0.3632,0.8978,0.0470733,0.7991,0.7976739
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,08,2025-08-13,2071.0,0.1931,0.8722,0.0487276,0.7668,0.760667
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,08,2025-08-29,2071.0,0.1333,0.9409,0.1153535,0.8149,0.7836851
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,09,2025-09-14,2071.0,0.1573,0.9224,0.0865229,0.7964,0.7826025
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,09,2025-09-30,2071.0,0.157,0.9489,0.125416,0.7485,0.7393077
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,10,2025-10-16,2071.0,0.2329,0.8803,0.0728404,0.7769,0.7653849
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,11,2025-11-01,2071.0,0.161,0.8989,0.0831347,0.8016,0.7828744
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,11,2025-11-17,2071.0,0.08,0.9095,0.1660023,0.8004,0.729372
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,12,2025-12-03,2071.0,0.1721,0.9452,0.079366,0.7948,0.7818888
SANTANDER,CHARALA,_500m_16_days_NDVI,2025,12,2025-12-19,2071.0,0.3333,0.9195,0.0502947,0.8179,0.8102677
