Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,CONFINES,_500m_16_days_EVI,2025,01,2025-01-01,401.0,0.1098,0.6944,0.0920131,0.4316,0.4161486
SANTANDER,CONFINES,_500m_16_days_EVI,2025,01,2025-01-17,401.0,0.3399,0.6356,0.0600973,0.4133,0.4285636
SANTANDER,CONFINES,_500m_16_days_EVI,2025,02,2025-02-02,401.0,0.062,0.8665,0.1235679,0.3747,0.3703975
SANTANDER,CONFINES,_500m_16_days_EVI,2025,02,2025-02-18,401.0,0.0958,0.6239,0.1034043,0.3947,0.3759297
SANTANDER,CONFINES,_500m_16_days_EVI,2025,03,2025-03-06,401.0,0.1265,0.6814,0.097878,0.4515,0.4467312
SANTANDER,CONFINES,_500m_16_days_EVI,2025,03,2025-03-22,401.0,0.1324,0.6769,0.0947176,0.5924,0.547088
SANTANDER,CONFINES,_500m_16_days_EVI,2025,04,2025-04-07,401.0,0.1803,0.7314,0.0721054,0.4428,0.4456426
SANTANDER,CONFINES,_500m_16_days_EVI,2025,04,2025-04-23,401.0,0.1209,0.6557,0.1248593,0.5257,0.4726621
SANTANDER,CONFINES,_500m_16_days_EVI,2025,05,2025-05-09,401.0,0.2356,0.6898,0.0858491,0.5968,0.5703466
SANTANDER,CONFINES,_500m_16_days_EVI,2025,05,2025-05-25,401.0,0.3902,0.6069,0.0364153,0.4925,0.4927581
SANTANDER,CONFINES,_500m_16_days_EVI,2025,06,2025-06-10,401.0,0.2049,0.6901,0.0969276,0.5774,0.5489414
SANTANDER,CONFINES,_500m_16_days_EVI,2025,06,2025-06-26,401.0,0.2518,0.6694,0.0721704,0.4679,0.470494
SANTANDER,CONFINES,_500m_16_days_EVI,2025,07,2025-07-12,401.0,0.2265,0.543,0.0381576,0.4439,0.4416414
SANTANDER,CONFINES,_500m_16_days_EVI,2025,07,2025-07-28,401.0,0.2551,0.6641,0.0664721,0.5319,0.5166102
SANTANDER,CONFINES,_500m_16_days_EVI,2025,08,2025-08-13,401.0,0.3376,0.7039,0.1066165,0.4876,0.5207042
SANTANDER,CONFINES,_500m_16_days_EVI,2025,08,2025-08-29,401.0,0.2951,0.7393,0.0708932,0.4388,0.4546531
SANTANDER,CONFINES,_500m_16_days_EVI,2025,09,2025-09-14,401.0,0.245,0.7736,0.0743004,0.4484,0.4659077
SANTANDER,CONFINES,_500m_16_days_EVI,2025,09,2025-09-30,401.0,0.2045,0.6621,0.0862022,0.4281,0.4477935
SANTANDER,CONFINES,_500m_16_days_EVI,2025,10,2025-10-16,401.0,0.1472,0.6895,0.0660263,0.574,0.5623406
SANTANDER,CONFINES,_500m_16_days_EVI,2025,11,2025-11-01,401.0,0.1608,0.7428,0.0676933,0.4211,0.4277494
SANTANDER,CONFINES,_500m_16_days_EVI,2025,11,2025-11-17,401.0,0.1119,0.682,0.121853,0.3731,0.3720823
