Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,CURITI,_500m_16_days_EVI,2025,01,2025-01-01,1279.0,0.0837,0.631,0.0985258,0.3518,0.3446877
SANTANDER,CURITI,_500m_16_days_EVI,2025,01,2025-01-17,1279.0,0.0711,0.5331,0.0774133,0.3272,0.3197799
SANTANDER,CURITI,_500m_16_days_EVI,2025,02,2025-02-02,1279.0,0.0761,0.7269,0.093711,0.2969,0.2928143
SANTANDER,CURITI,_500m_16_days_EVI,2025,02,2025-02-18,1279.0,0.0311,0.6845,0.1258634,0.2826,0.2985486
SANTANDER,CURITI,_500m_16_days_EVI,2025,03,2025-03-06,1279.0,0.0696,0.7328,0.0976968,0.2974,0.3043929
SANTANDER,CURITI,_500m_16_days_EVI,2025,03,2025-03-22,1279.0,0.1237,0.5677,0.0774095,0.3412,0.3362334
SANTANDER,CURITI,_500m_16_days_EVI,2025,04,2025-04-07,1279.0,0.1108,0.6593,0.1187149,0.3729,0.3895399
SANTANDER,CURITI,_500m_16_days_EVI,2025,04,2025-04-23,1279.0,0.0664,0.6596,0.1108516,0.3208,0.3280332
SANTANDER,CURITI,_500m_16_days_EVI,2025,05,2025-05-09,1279.0,0.0594,0.6455,0.0848806,0.4075,0.4026546
SANTANDER,CURITI,_500m_16_days_EVI,2025,05,2025-05-25,1279.0,0.15,0.6325,0.0787943,0.4232,0.4177923
SANTANDER,CURITI,_500m_16_days_EVI,2025,06,2025-06-10,1279.0,0.1786,0.725,0.0924155,0.5189,0.5009227
SANTANDER,CURITI,_500m_16_days_EVI,2025,06,2025-06-26,1279.0,0.1209,0.7068,0.098808,0.4527,0.4436522
SANTANDER,CURITI,_500m_16_days_EVI,2025,07,2025-07-12,1279.0,0.1204,0.6907,0.0825912,0.3957,0.3896136
SANTANDER,CURITI,_500m_16_days_EVI,2025,07,2025-07-28,1279.0,0.1754,0.7354,0.1070683,0.4708,0.4760562
SANTANDER,CURITI,_500m_16_days_EVI,2025,08,2025-08-13,1279.0,0.1223,0.7117,0.1037341,0.4208,0.4284603
SANTANDER,CURITI,_500m_16_days_EVI,2025,08,2025-08-29,1279.0,0.131,0.7625,0.1098362,0.3978,0.4261232
SANTANDER,CURITI,_500m_16_days_EVI,2025,09,2025-09-14,1279.0,0.1055,0.7265,0.1116838,0.4024,0.4379123
