Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,01,2025-01-01,806.0,0.1549,0.6927,0.0705781,0.46945,0.4652038
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,01,2025-01-17,806.0,0.3097,0.6044,0.0375574,0.4313,0.4307515
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,02,2025-02-02,806.0,0.0892,0.7133,0.1045207,0.4746,0.4626186
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,02,2025-02-18,806.0,0.1395,0.6227,0.0560395,0.4419,0.4371347
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,03,2025-03-06,806.0,0.1761,0.6329,0.0664507,0.4521,0.4583473
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,03,2025-03-22,806.0,0.3824,0.6815,0.0645089,0.5302,0.5505959
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,04,2025-04-07,806.0,0.2236,0.7908,0.077414,0.5943,0.5685182
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,04,2025-04-23,806.0,0.2199,0.7324,0.0522306,0.5979,0.5921947
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,05,2025-05-09,806.0,0.2972,0.6835,0.0558104,0.5202,0.5100329
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,05,2025-05-25,806.0,0.3928,0.66,0.0345595,0.5113,0.5109397
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,06,2025-06-10,806.0,0.2375,0.7256,0.0726452,0.60245,0.5902873
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,06,2025-06-26,806.0,0.3513,0.6656,0.0514589,0.5063,0.5105845
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,07,2025-07-12,806.0,0.2104,0.7575,0.0408334,0.4512,0.4484792
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,07,2025-07-28,806.0,0.2699,0.697,0.0710339,0.5103,0.5242483
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,08,2025-08-13,806.0,0.2572,0.7171,0.0740688,0.43475,0.4605223
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,08,2025-08-29,806.0,0.2635,0.6461,0.0441823,0.4504,0.4488124
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,09,2025-09-14,806.0,0.2941,0.8507,0.1015777,0.51625,0.5431119
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,09,2025-09-30,806.0,0.2646,0.7661,0.0916094,0.46775,0.5057691
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,10,2025-10-16,806.0,0.2741,0.7752,0.0488077,0.58095,0.5754527
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,11,2025-11-01,806.0,0.1397,0.653,0.0599475,0.45435,0.4600686
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,11,2025-11-17,806.0,0.1116,0.7396,0.1068438,0.5126,0.4960417
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,12,2025-12-03,806.0,0.1811,0.6717,0.0675501,0.4651,0.4740413
SANTANDER,GUADALUPE,_500m_16_days_EVI,2025,12,2025-12-19,806.0,0.1336,0.7259,0.0714411,0.4398,0.4488845
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,01,2025-01-01,806.0,0.2691,0.8759,0.0645798,0.803,0.7875538
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,01,2025-01-17,806.0,0.6009,0.8728,0.0296102,0.79935,0.7970289
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,02,2025-02-02,806.0,0.0981,0.8505,0.1069124,0.7229,0.6952146
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,02,2025-02-18,806.0,0.3453,0.8608,0.0734924,0.7719,0.7534248
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,03,2025-03-06,806.0,0.1522,0.8586,0.0669526,0.7912,0.7766973
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,03,2025-03-22,806.0,0.6192,0.8701,0.0447256,0.76495,0.7575689
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,04,2025-04-07,806.0,0.2919,0.8637,0.0575073,0.76675,0.763798
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,04,2025-04-23,806.0,0.3259,0.8551,0.0433187,0.77945,0.7721801
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,05,2025-05-09,806.0,0.5798,0.8794,0.0376342,0.7888,0.7836146
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,05,2025-05-25,806.0,0.6274,0.8739,0.0296088,0.808,0.805764
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,06,2025-06-10,806.0,0.2693,0.8697,0.067482,0.7839,0.7682176
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,06,2025-06-26,806.0,0.6312,0.8757,0.0380209,0.80135,0.7996609
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,07,2025-07-12,806.0,0.4894,0.8861,0.0347093,0.8228,0.8193632
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,07,2025-07-28,806.0,0.6387,0.8785,0.047581,0.785,0.7863072
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,08,2025-08-13,806.0,0.5284,0.9198,0.0448308,0.75115,0.7438583
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,08,2025-08-29,806.0,0.6779,0.9031,0.0368678,0.8273,0.8206448
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,09,2025-09-14,806.0,0.4095,0.8822,0.0570174,0.79105,0.7794636
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,09,2025-09-30,806.0,0.4932,0.9,0.0612096,0.8023,0.7931237
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,10,2025-10-16,806.0,0.3847,0.8601,0.0476533,0.7631,0.7545717
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,11,2025-11-01,806.0,0.5306,0.9179,0.0446194,0.80695,0.7978081
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,11,2025-11-17,806.0,0.1871,0.8822,0.1190319,0.7919,0.7545783
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,12,2025-12-03,806.0,0.3702,0.8747,0.0459905,0.81045,0.8026433
SANTANDER,GUADALUPE,_500m_16_days_NDVI,2025,12,2025-12-19,806.0,0.4144,0.8663,0.0384404,0.81615,0.8078801
