Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,01,2025-01-01,394.0,0.1297,0.5897,0.0617365,0.4615,0.4499145
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,01,2025-01-17,394.0,0.3515,0.5668,0.0346796,0.4333,0.4377787
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,02,2025-02-02,394.0,0.1059,0.6739,0.0777284,0.419,0.4356325
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,02,2025-02-18,394.0,0.1592,0.567,0.0528942,0.4185,0.4092129
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,03,2025-03-06,394.0,0.186,0.6249,0.0665983,0.4644,0.4674439
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,03,2025-03-22,394.0,0.3921,0.6568,0.0585725,0.5164,0.5266665
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,04,2025-04-07,394.0,0.2452,0.7084,0.0885055,0.56045,0.5406751
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,04,2025-04-23,394.0,0.2371,0.7138,0.0472983,0.5923,0.5940365
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,05,2025-05-09,394.0,0.304,0.7597,0.089152,0.5237,0.5372127
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,05,2025-05-25,394.0,0.4195,0.6273,0.0373753,0.5082,0.5123734
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,06,2025-06-10,394.0,0.2467,0.738,0.1062808,0.5743,0.5425718
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,06,2025-06-26,394.0,0.1845,0.6121,0.050516,0.48015,0.4807353
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,07,2025-07-12,394.0,0.2301,0.6272,0.0432375,0.465,0.4643028
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,07,2025-07-28,394.0,0.3745,0.6414,0.046289,0.48025,0.4838987
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,08,2025-08-13,394.0,0.3738,0.6615,0.064595,0.4997,0.4963058
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,08,2025-08-29,394.0,0.257,0.6523,0.0535071,0.45215,0.4548426
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,09,2025-09-14,394.0,0.2679,0.7664,0.0587049,0.50465,0.5128322
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,09,2025-09-30,394.0,0.1256,0.6565,0.0878409,0.51485,0.5027751
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,10,2025-10-16,394.0,0.2692,0.682,0.0443639,0.58625,0.5826107
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,11,2025-11-01,394.0,0.3665,0.628,0.0463439,0.4538,0.4588518
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,11,2025-11-17,394.0,0.1437,0.6868,0.0797834,0.46285,0.4728018
SANTANDER,GUAPOTA,_500m_16_days_EVI,2025,12,2025-12-03,394.0,0.3092,0.6243,0.0573699,0.4605,0.4653635
