Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,01,2025-01-01,181.0,0.3258,0.6573,0.0398854,0.4196,0.4251624
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,01,2025-01-17,181.0,0.3192,0.486,0.0371429,0.398,0.4033381
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,02,2025-02-02,181.0,0.2023,0.665,0.0694733,0.4923,0.4829635
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,02,2025-02-18,181.0,0.3342,0.5562,0.0562504,0.4456,0.4495006
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,03,2025-03-06,181.0,0.2539,0.6236,0.0624484,0.4188,0.4215464
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,03,2025-03-22,181.0,0.3501,0.5102,0.0312629,0.4417,0.4370901
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,04,2025-04-07,181.0,0.3681,0.6165,0.0490514,0.5378,0.5323326
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,04,2025-04-23,181.0,0.3652,0.62,0.0645064,0.5131,0.5092895
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,05,2025-05-09,181.0,0.3514,0.6231,0.0628721,0.4735,0.4866928
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,05,2025-05-25,181.0,0.3891,0.6014,0.0383706,0.4674,0.4700989
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,06,2025-06-10,181.0,0.4532,0.6413,0.0348619,0.5472,0.5482945
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,06,2025-06-26,181.0,0.3202,0.5328,0.0381198,0.4277,0.4297856
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,07,2025-07-12,181.0,0.3618,0.5341,0.0312134,0.4353,0.4375641
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,07,2025-07-28,181.0,0.3558,0.6185,0.0618877,0.4484,0.4645431
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,08,2025-08-13,181.0,0.376,0.6497,0.0568351,0.49,0.4857061
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,08,2025-08-29,181.0,0.3542,0.5793,0.0384149,0.4425,0.4438525
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,09,2025-09-14,181.0,0.2042,0.6507,0.1032392,0.5544,0.5086448
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,09,2025-09-30,181.0,0.3356,0.6048,0.053022,0.5267,0.5170138
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,10,2025-10-16,181.0,0.4025,0.6002,0.0405306,0.5175,0.5160099
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,11,2025-11-01,181.0,0.3512,0.6427,0.0638006,0.4546,0.4763481
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,11,2025-11-17,181.0,0.2838,0.6604,0.0672285,0.4305,0.4468055
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,12,2025-12-03,181.0,0.3414,0.6246,0.0631542,0.4776,0.4755796
SANTANDER,GUEPSA,_500m_16_days_EVI,2025,12,2025-12-19,181.0,0.2953,0.54,0.0471138,0.4103,0.4196796
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,01,2025-01-01,181.0,0.5626,0.8296,0.0390919,0.7477,0.743342
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,01,2025-01-17,181.0,0.6164,0.8245,0.0391996,0.7364,0.7397956
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,02,2025-02-02,181.0,0.2668,0.7981,0.0542542,0.6406,0.6423641
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,02,2025-02-18,181.0,0.5552,0.8345,0.069282,0.6718,0.6825906
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,03,2025-03-06,181.0,0.414,0.8106,0.056174,0.6983,0.6976188
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,03,2025-03-22,181.0,0.587,0.7954,0.0390887,0.6989,0.695053
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,04,2025-04-07,181.0,0.5555,0.7684,0.0360043,0.6931,0.6921144
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,04,2025-04-23,181.0,0.5353,0.8401,0.0476256,0.7292,0.7275994
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,05,2025-05-09,181.0,0.5682,0.874,0.0550659,0.7565,0.7632514
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,05,2025-05-25,181.0,0.5977,0.8467,0.040557,0.7578,0.7582923
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,06,2025-06-10,181.0,0.6091,0.8195,0.0333109,0.7363,0.7348702
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,06,2025-06-26,181.0,0.5762,0.8643,0.0458213,0.7606,0.7561227
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,07,2025-07-12,181.0,0.6453,0.8693,0.0390378,0.7879,0.7836188
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,07,2025-07-28,181.0,0.572,0.8449,0.0436167,0.7661,0.7670177
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,08,2025-08-13,181.0,0.5883,0.794,0.0398119,0.7342,0.7300392
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,08,2025-08-29,181.0,0.5675,0.8588,0.0503463,0.7774,0.7706381
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,09,2025-09-14,181.0,0.5712,0.8378,0.0539139,0.6974,0.7087707
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,09,2025-09-30,181.0,0.6211,0.8678,0.0532661,0.6935,0.7116961
SANTANDER,GUEPSA,_500m_16_days_NDVI,2025,10,2025-10-16,181.0,0.5942,0.7708,0.0373666,0.6898,0.6897088
