Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,01,2025-01-01,408.0,0.2184,0.5571,0.0625667,0.4389,0.4334488
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,01,2025-01-17,408.0,0.1284,0.6373,0.0765223,0.44665,0.4557461
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,02,2025-02-02,408.0,0.1175,0.7085,0.1144794,0.4062,0.3950436
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,02,2025-02-18,408.0,0.1242,0.6388,0.1186437,0.3991,0.3846924
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,03,2025-03-06,408.0,0.0674,0.6563,0.113031,0.4767,0.4438586
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,03,2025-03-22,408.0,0.1539,0.6831,0.0900527,0.46775,0.4951363
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,04,2025-04-07,408.0,0.1266,0.663,0.0796207,0.44125,0.44196
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,04,2025-04-23,408.0,0.1402,0.6587,0.1040013,0.54435,0.5096706
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,05,2025-05-09,408.0,0.1564,0.7172,0.1095705,0.5061,0.5005007
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,05,2025-05-25,408.0,0.1686,0.5902,0.0535919,0.4806,0.4752176
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,06,2025-06-10,408.0,0.2116,0.7139,0.0820129,0.4166,0.415138
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,06,2025-06-26,408.0,0.1007,0.6406,0.0678933,0.44645,0.4413728
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,07,2025-07-12,408.0,0.2621,0.6388,0.0478773,0.4317,0.4326203
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,07,2025-07-28,408.0,0.3016,0.6631,0.0562216,0.51175,0.5071218
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,08,2025-08-13,408.0,0.2938,0.7233,0.1031514,0.60305,0.5510493
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,08,2025-08-29,408.0,0.1502,0.6708,0.0496099,0.40935,0.4116863
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,09,2025-09-14,408.0,0.243,0.6855,0.0619107,0.4274,0.42814
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,09,2025-09-30,408.0,0.1093,0.7212,0.1045517,0.4493,0.4597772
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,10,2025-10-16,408.0,0.1794,0.6705,0.0486504,0.56595,0.5648196
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,11,2025-11-01,408.0,0.2579,0.5557,0.0558333,0.429,0.4294679
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,11,2025-11-17,408.0,0.1054,0.6906,0.1111972,0.426,0.4071554
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,12,2025-12-03,408.0,0.1164,0.6832,0.0934175,0.44115,0.4366208
SANTANDER,OCAMONTE,_500m_16_days_EVI,2025,12,2025-12-19,408.0,0.2215,0.6793,0.0893678,0.4312,0.4442686
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,01,2025-01-01,408.0,0.4561,0.8524,0.0483023,0.7983,0.7869385
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,01,2025-01-17,408.0,0.4746,0.8425,0.0451583,0.77655,0.7674809
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,02,2025-02-02,408.0,0.1506,0.8288,0.1358236,0.7185,0.6670973
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,02,2025-02-18,408.0,0.1686,0.8703,0.1144224,0.7068,0.6842539
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,03,2025-03-06,408.0,0.0786,0.8825,0.1181663,0.7538,0.7190637
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,03,2025-03-22,408.0,0.2336,0.8259,0.0554946,0.7296,0.7256007
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,04,2025-04-07,408.0,0.1721,0.85,0.0760684,0.78255,0.7633115
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,04,2025-04-23,408.0,0.2128,0.8874,0.1337809,0.75075,0.6903255
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,05,2025-05-09,408.0,0.2617,0.8796,0.0985867,0.75745,0.7281066
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,05,2025-05-25,408.0,0.234,0.8858,0.0600995,0.8011,0.788476
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,06,2025-06-10,408.0,0.29,0.9012,0.1474908,0.8319,0.7703912
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,06,2025-06-26,408.0,0.2856,0.9116,0.0835558,0.81345,0.7911703
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,07,2025-07-12,408.0,0.6617,0.8911,0.0371828,0.8192,0.8115181
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,07,2025-07-28,408.0,0.5284,0.8652,0.0453196,0.7838,0.7763289
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,08,2025-08-13,408.0,0.5829,0.8417,0.0292421,0.75625,0.7584191
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,08,2025-08-29,408.0,0.2284,0.9085,0.0541927,0.8271,0.8194674
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,09,2025-09-14,408.0,0.4526,0.9122,0.0599764,0.82895,0.8140679
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,09,2025-09-30,408.0,0.157,0.9081,0.0825382,0.78295,0.7735525
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,10,2025-10-16,408.0,0.5437,0.8216,0.0415543,0.77125,0.7604809
SANTANDER,OCAMONTE,_500m_16_days_NDVI,2025,11,2025-11-01,408.0,0.5407,0.875,0.0478955,0.8098,0.7985132
