Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,OIBA,_500m_16_days_EVI,2025,01,2025-01-01,1416.0,0.0802,0.7531,0.0970529,0.4495,0.4467011
SANTANDER,OIBA,_500m_16_days_EVI,2025,01,2025-01-17,1416.0,0.2996,0.6733,0.0606877,0.42655,0.436519
SANTANDER,OIBA,_500m_16_days_EVI,2025,02,2025-02-02,1416.0,0.0573,0.8665,0.1227001,0.4177,0.4182677
SANTANDER,OIBA,_500m_16_days_EVI,2025,02,2025-02-18,1416.0,0.0858,0.7191,0.1015566,0.3938,0.3960484
SANTANDER,OIBA,_500m_16_days_EVI,2025,03,2025-03-06,1416.0,0.0881,0.75,0.0916739,0.462,0.4505251
SANTANDER,OIBA,_500m_16_days_EVI,2025,03,2025-03-22,1416.0,0.0823,0.7463,0.1022217,0.55935,0.5411421
SANTANDER,OIBA,_500m_16_days_EVI,2025,04,2025-04-07,1416.0,0.1159,0.7296,0.096324,0.4685,0.4920194
SANTANDER,OIBA,_500m_16_days_EVI,2025,04,2025-04-23,1416.0,0.095,0.7123,0.0772391,0.5574,0.5429922
SANTANDER,OIBA,_500m_16_days_EVI,2025,05,2025-05-09,1416.0,0.1675,0.6845,0.0993817,0.4953,0.4842917
SANTANDER,OIBA,_500m_16_days_EVI,2025,05,2025-05-25,1416.0,0.2137,0.6297,0.0430764,0.48225,0.4833648
SANTANDER,OIBA,_500m_16_days_EVI,2025,06,2025-06-10,1416.0,0.1214,0.6791,0.1154983,0.4276,0.4470025
SANTANDER,OIBA,_500m_16_days_EVI,2025,06,2025-06-26,1416.0,0.2368,0.6982,0.0696656,0.50185,0.5026901
SANTANDER,OIBA,_500m_16_days_EVI,2025,07,2025-07-12,1416.0,0.2533,0.6339,0.0512808,0.44205,0.4382253
SANTANDER,OIBA,_500m_16_days_EVI,2025,07,2025-07-28,1416.0,0.1628,0.7178,0.0841515,0.5443,0.5294455
SANTANDER,OIBA,_500m_16_days_EVI,2025,08,2025-08-13,1416.0,0.2728,0.6374,0.055728,0.47055,0.4689613
SANTANDER,OIBA,_500m_16_days_EVI,2025,08,2025-08-29,1416.0,0.1169,0.7367,0.0713732,0.4226,0.4294046
SANTANDER,OIBA,_500m_16_days_EVI,2025,09,2025-09-14,1416.0,0.1759,0.7496,0.1047005,0.4467,0.4762596
SANTANDER,OIBA,_500m_16_days_EVI,2025,09,2025-09-30,1416.0,0.0895,0.8357,0.1059642,0.45165,0.469314
SANTANDER,OIBA,_500m_16_days_EVI,2025,10,2025-10-16,1416.0,0.1637,0.7558,0.0720849,0.56385,0.5493484
SANTANDER,OIBA,_500m_16_days_EVI,2025,11,2025-11-01,1416.0,0.0968,0.6953,0.0914255,0.4408,0.454076
SANTANDER,OIBA,_500m_16_days_EVI,2025,11,2025-11-17,1416.0,0.0644,0.7498,0.1305282,0.44735,0.4327184
SANTANDER,OIBA,_500m_16_days_EVI,2025,12,2025-12-03,1416.0,0.1233,0.7133,0.0744643,0.5284,0.518649
SANTANDER,OIBA,_500m_16_days_EVI,2025,12,2025-12-19,1416.0,0.1063,0.7599,0.0976845,0.4607,0.4704605
SANTANDER,OIBA,_500m_16_days_NDVI,2025,01,2025-01-01,1416.0,0.0953,0.9102,0.1000261,0.7892,0.7617246
SANTANDER,OIBA,_500m_16_days_NDVI,2025,01,2025-01-17,1416.0,0.546,0.9167,0.0382263,0.7987,0.7987694
SANTANDER,OIBA,_500m_16_days_NDVI,2025,02,2025-02-02,1416.0,0.0763,0.8905,0.1589252,0.6733,0.6298638
SANTANDER,OIBA,_500m_16_days_NDVI,2025,02,2025-02-18,1416.0,0.1148,0.8912,0.1151862,0.7597,0.7235882
SANTANDER,OIBA,_500m_16_days_NDVI,2025,03,2025-03-06,1416.0,0.122,0.8905,0.1189284,0.7701,0.7291631
SANTANDER,OIBA,_500m_16_days_NDVI,2025,03,2025-03-22,1416.0,0.1286,0.8723,0.0917863,0.734,0.7213922
SANTANDER,OIBA,_500m_16_days_NDVI,2025,04,2025-04-07,1416.0,0.1358,0.8937,0.0883495,0.7729,0.7610035
SANTANDER,OIBA,_500m_16_days_NDVI,2025,04,2025-04-23,1416.0,0.1196,0.8603,0.0906286,0.76365,0.7407766
SANTANDER,OIBA,_500m_16_days_NDVI,2025,05,2025-05-09,1416.0,0.2766,0.9072,0.0920405,0.7737,0.7522993
SANTANDER,OIBA,_500m_16_days_NDVI,2025,05,2025-05-25,1416.0,0.2947,0.8862,0.0418206,0.7994,0.7967664
SANTANDER,OIBA,_500m_16_days_NDVI,2025,06,2025-06-10,1416.0,0.1497,0.9134,0.1495056,0.7404,0.6902935
SANTANDER,OIBA,_500m_16_days_NDVI,2025,06,2025-06-26,1416.0,0.3455,0.8901,0.0498819,0.8035,0.7976041
SANTANDER,OIBA,_500m_16_days_NDVI,2025,07,2025-07-12,1416.0,0.443,0.8979,0.0528339,0.81595,0.8065881
SANTANDER,OIBA,_500m_16_days_NDVI,2025,07,2025-07-28,1416.0,0.3648,0.9072,0.0524256,0.7763,0.7700247
SANTANDER,OIBA,_500m_16_days_NDVI,2025,08,2025-08-13,1416.0,0.4732,0.8669,0.0451414,0.7596,0.7541599
SANTANDER,OIBA,_500m_16_days_NDVI,2025,08,2025-08-29,1416.0,0.1333,0.8989,0.0641393,0.8245,0.8118596
SANTANDER,OIBA,_500m_16_days_NDVI,2025,09,2025-09-14,1416.0,0.2477,0.8908,0.0838551,0.7968,0.7765006
SANTANDER,OIBA,_500m_16_days_NDVI,2025,09,2025-09-30,1416.0,0.1056,0.9273,0.0913711,0.77085,0.7616748
SANTANDER,OIBA,_500m_16_days_NDVI,2025,10,2025-10-16,1416.0,0.2552,0.8567,0.0709175,0.7598,0.7464522
SANTANDER,OIBA,_500m_16_days_NDVI,2025,11,2025-11-01,1416.0,0.1732,0.9114,0.0813646,0.7863,0.7702352
SANTANDER,OIBA,_500m_16_days_NDVI,2025,11,2025-11-17,1416.0,0.0704,0.893,0.1640965,0.7193,0.6613421
SANTANDER,OIBA,_500m_16_days_NDVI,2025,12,2025-12-03,1416.0,0.1795,0.8848,0.0605817,0.7885,0.7796451
SANTANDER,OIBA,_500m_16_days_NDVI,2025,12,2025-12-19,1416.0,0.29,0.9045,0.0589165,0.8028,0.7932684
