Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,01,2025-01-01,324.0,0.1095,0.5868,0.0634226,0.43905,0.430366
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,01,2025-01-17,324.0,0.3354,0.5835,0.0305474,0.42395,0.4283404
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,02,2025-02-02,324.0,0.1137,0.6595,0.1024989,0.4081,0.4020648
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,02,2025-02-18,324.0,0.1354,0.6195,0.0875038,0.41155,0.4122343
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,03,2025-03-06,324.0,0.1567,0.6094,0.083477,0.4704,0.4598972
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,03,2025-03-22,324.0,0.3733,0.6585,0.0667563,0.4582,0.4758883
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,04,2025-04-07,324.0,0.278,0.7164,0.0939577,0.4882,0.5095191
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,04,2025-04-23,324.0,0.173,0.716,0.1063761,0.4645,0.4584762
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,05,2025-05-09,324.0,0.3753,0.6716,0.0382169,0.5348,0.536784
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,05,2025-05-25,324.0,0.4098,0.6109,0.0329619,0.51395,0.5146698
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,06,2025-06-10,324.0,0.2049,0.7187,0.0977973,0.4696,0.5005858
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,06,2025-06-26,324.0,0.2429,0.592,0.0441515,0.47585,0.4716034
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,07,2025-07-12,324.0,0.3529,0.5501,0.029164,0.44455,0.4457898
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,07,2025-07-28,324.0,0.2431,0.6502,0.0569204,0.46795,0.4854071
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,08,2025-08-13,324.0,0.3813,0.697,0.0828448,0.5957,0.5698707
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,08,2025-08-29,324.0,0.3563,0.5845,0.030737,0.4505,0.4519241
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,09,2025-09-14,324.0,0.4014,0.7493,0.1037947,0.495,0.534792
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,09,2025-09-30,324.0,0.1578,0.6892,0.0941346,0.467,0.4847231
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,10,2025-10-16,324.0,0.2177,0.6698,0.0558179,0.5817,0.573692
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,11,2025-11-01,324.0,0.2411,0.7247,0.0478351,0.43865,0.4419793
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,11,2025-11-17,324.0,0.1186,0.7189,0.1192738,0.44165,0.4319562
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,12,2025-12-03,324.0,0.3461,0.6834,0.0615178,0.5041,0.4960528
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_EVI,2025,12,2025-12-19,324.0,0.3455,0.6536,0.0586187,0.4767,0.4826676
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,01,2025-01-01,324.0,0.2391,0.8554,0.0870409,0.78715,0.7658895
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,01,2025-01-17,324.0,0.6853,0.853,0.0317674,0.79465,0.791854
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,02,2025-02-02,324.0,0.1766,0.816,0.1185531,0.7236,0.6824796
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,02,2025-02-18,324.0,0.2325,0.8376,0.0813044,0.7414,0.7257265
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,03,2025-03-06,324.0,0.2354,0.8863,0.0932187,0.72915,0.713721
SANTANDER,PALMAS DEL SOCORRO,_500m_16_days_NDVI,2025,03,2025-03-22,324.0,0.6073,0.825,0.0404748,0.71865,0.7243389
