Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,PARAMO,_500m_16_days_EVI,2025,01,2025-01-01,409.0,0.1395,0.7386,0.1054315,0.5025,0.4894286
SANTANDER,PARAMO,_500m_16_days_EVI,2025,01,2025-01-17,409.0,0.3178,0.6784,0.0540168,0.4557,0.4552826
SANTANDER,PARAMO,_500m_16_days_EVI,2025,02,2025-02-02,409.0,0.0974,0.7491,0.1089621,0.4435,0.435611
SANTANDER,PARAMO,_500m_16_days_EVI,2025,02,2025-02-18,409.0,0.1035,0.6625,0.1158478,0.4403,0.4209714
SANTANDER,PARAMO,_500m_16_days_EVI,2025,03,2025-03-06,409.0,0.1281,0.704,0.1147661,0.4854,0.4795496
SANTANDER,PARAMO,_500m_16_days_EVI,2025,03,2025-03-22,409.0,0.1255,0.6769,0.0916347,0.4711,0.4787797
SANTANDER,PARAMO,_500m_16_days_EVI,2025,04,2025-04-07,409.0,0.1682,0.7314,0.090751,0.5059,0.4950372
SANTANDER,PARAMO,_500m_16_days_EVI,2025,04,2025-04-23,409.0,0.1427,0.6157,0.0988213,0.3706,0.3653824
SANTANDER,PARAMO,_500m_16_days_EVI,2025,05,2025-05-09,409.0,0.3623,0.7172,0.0637464,0.5575,0.5576134
SANTANDER,PARAMO,_500m_16_days_EVI,2025,05,2025-05-25,409.0,0.4061,0.6518,0.043194,0.5228,0.5251809
SANTANDER,PARAMO,_500m_16_days_EVI,2025,06,2025-06-10,409.0,0.2216,0.7261,0.1109529,0.5212,0.5266614
SANTANDER,PARAMO,_500m_16_days_EVI,2025,06,2025-06-26,409.0,0.1803,0.7111,0.0782902,0.5328,0.5352839
SANTANDER,PARAMO,_500m_16_days_EVI,2025,07,2025-07-12,409.0,0.359,0.6983,0.043566,0.4819,0.4823188
SANTANDER,PARAMO,_500m_16_days_EVI,2025,07,2025-07-28,409.0,0.3962,0.7613,0.0559171,0.5649,0.5673489
SANTANDER,PARAMO,_500m_16_days_EVI,2025,08,2025-08-13,409.0,0.3631,0.7529,0.0936145,0.5344,0.5501557
SANTANDER,PARAMO,_500m_16_days_EVI,2025,08,2025-08-29,409.0,0.1581,0.7202,0.0480198,0.4654,0.4665154
SANTANDER,PARAMO,_500m_16_days_EVI,2025,09,2025-09-14,409.0,0.245,0.7736,0.0943845,0.4733,0.4943751
SANTANDER,PARAMO,_500m_16_days_EVI,2025,09,2025-09-30,409.0,0.2449,0.7707,0.0958741,0.5191,0.5235073
SANTANDER,PARAMO,_500m_16_days_EVI,2025,10,2025-10-16,409.0,0.2175,0.7322,0.0602704,0.5946,0.5912015
SANTANDER,PARAMO,_500m_16_days_EVI,2025,11,2025-11-01,409.0,0.1608,0.7227,0.0908902,0.4769,0.5030452
SANTANDER,PARAMO,_500m_16_days_EVI,2025,11,2025-11-17,409.0,0.0821,0.7421,0.1267039,0.466,0.4398271
SANTANDER,PARAMO,_500m_16_days_EVI,2025,12,2025-12-03,409.0,0.1045,0.7281,0.0948752,0.5561,0.5400511
SANTANDER,PARAMO,_500m_16_days_EVI,2025,12,2025-12-19,409.0,0.3158,0.6772,0.0641733,0.481,0.4962863
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,01,2025-01-01,409.0,0.1951,0.8791,0.1041793,0.7749,0.7478892
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,01,2025-01-17,409.0,0.6343,0.8645,0.0420468,0.7876,0.7817702
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,02,2025-02-02,409.0,0.1016,0.846,0.151443,0.692,0.6423411
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,02,2025-02-18,409.0,0.1266,0.8426,0.1286726,0.6442,0.6069885
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,03,2025-03-06,409.0,0.2281,0.8433,0.0978851,0.6974,0.6753186
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,03,2025-03-22,409.0,0.1706,0.8076,0.0731519,0.6929,0.6882861
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,04,2025-04-07,409.0,0.29,0.8631,0.0901295,0.709,0.6897594
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,04,2025-04-23,409.0,0.1462,0.8802,0.1324976,0.4793,0.4816809
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,05,2025-05-09,409.0,0.5676,0.874,0.0423411,0.7776,0.7793675
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,05,2025-05-25,409.0,0.6522,0.879,0.0377003,0.8007,0.8014914
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,06,2025-06-10,409.0,0.2927,0.9135,0.0995014,0.7784,0.755022
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,06,2025-06-26,409.0,0.1957,0.8991,0.0653909,0.8079,0.7974645
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,07,2025-07-12,409.0,0.5579,0.8991,0.0440449,0.8281,0.8230152
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,07,2025-07-28,409.0,0.6268,0.8841,0.0418151,0.798,0.7948653
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,08,2025-08-13,409.0,0.6389,0.8934,0.0351353,0.7794,0.7789748
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,08,2025-08-29,409.0,0.4296,0.8988,0.0495951,0.8322,0.8262394
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,09,2025-09-14,409.0,0.2887,0.9066,0.0835097,0.8001,0.7823064
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,09,2025-09-30,409.0,0.2907,0.8897,0.0985734,0.7945,0.7672054
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,10,2025-10-16,409.0,0.3842,0.8518,0.0582156,0.7699,0.7570042
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,11,2025-11-01,409.0,0.2782,0.8963,0.0834748,0.7991,0.7745494
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,11,2025-11-17,409.0,0.08,0.8837,0.1984325,0.7712,0.6606985
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,12,2025-12-03,409.0,0.1376,0.9074,0.0958207,0.7875,0.7657963
SANTANDER,PARAMO,_500m_16_days_NDVI,2025,12,2025-12-19,409.0,0.5825,0.8878,0.042883,0.8062,0.8005861
