Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,01,2025-01-01,301.0,0.0918,0.7027,0.111354,0.3997,0.4050312
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,01,2025-01-17,301.0,0.2005,0.5088,0.069317,0.3785,0.368707
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,02,2025-02-02,301.0,0.0786,0.5141,0.0752086,0.3155,0.3199329
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,02,2025-02-18,301.0,0.1,0.6214,0.1011835,0.3098,0.3198
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,03,2025-03-06,301.0,0.1233,0.6748,0.0977558,0.4083,0.4050159
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,03,2025-03-22,301.0,0.1116,0.5998,0.0693401,0.4217,0.4142605
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,04,2025-04-07,301.0,0.1795,0.7108,0.1007093,0.4356,0.4532874
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,04,2025-04-23,301.0,0.1463,0.7387,0.1083898,0.4386,0.4288103
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,05,2025-05-09,301.0,0.2825,0.6422,0.0521057,0.5326,0.5263987
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,05,2025-05-25,301.0,0.2225,0.6384,0.0581897,0.5225,0.5156904
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,06,2025-06-10,301.0,0.2342,0.7404,0.0929716,0.6129,0.5831282
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,06,2025-06-26,301.0,0.2833,0.7096,0.0750247,0.5361,0.5448186
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,07,2025-07-12,301.0,0.321,0.692,0.0559304,0.4644,0.4726355
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,07,2025-07-28,301.0,0.3565,0.7416,0.0861561,0.5866,0.5715027
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,08,2025-08-13,301.0,0.2727,0.7386,0.1162529,0.4496,0.5022628
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,08,2025-08-29,301.0,0.3353,0.7574,0.0973807,0.4591,0.4927116
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,09,2025-09-14,301.0,0.2679,0.7243,0.1178345,0.4414,0.5060027
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,09,2025-09-30,301.0,0.3042,0.7354,0.0897994,0.4369,0.4723694
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,10,2025-10-16,301.0,0.3641,0.6982,0.0528527,0.5764,0.5695352
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,11,2025-11-01,301.0,0.3123,0.6763,0.0935939,0.4223,0.4516601
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,11,2025-11-17,301.0,0.081,0.7421,0.1325412,0.3595,0.3477505
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,12,2025-12-03,301.0,0.1609,0.689,0.0880321,0.3974,0.4069379
SANTANDER,PINCHOTE,_500m_16_days_EVI,2025,12,2025-12-19,301.0,0.1278,0.6714,0.1216725,0.481,0.4775787
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,01,2025-01-01,301.0,0.1241,0.8698,0.1165634,0.7587,0.7322585
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,01,2025-01-17,301.0,0.4337,0.8619,0.0832453,0.7713,0.7469701
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,02,2025-02-02,301.0,0.0873,0.8662,0.1680104,0.6488,0.6267379
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,02,2025-02-18,301.0,0.1325,0.8763,0.1497722,0.6328,0.6135372
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,03,2025-03-06,301.0,0.14,0.8581,0.1242117,0.6731,0.6472
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,03,2025-03-22,301.0,0.1558,0.8172,0.1056416,0.7112,0.6853385
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,04,2025-04-07,301.0,0.29,0.85,0.0909146,0.7256,0.7056425
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,04,2025-04-23,301.0,0.2043,0.8888,0.1916369,0.6724,0.6443664
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,05,2025-05-09,301.0,0.4757,0.8722,0.0535691,0.7973,0.7875003
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,05,2025-05-25,301.0,0.2875,0.8861,0.0847065,0.817,0.793505
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,06,2025-06-10,301.0,0.2456,0.9032,0.0952643,0.792,0.7605126
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,06,2025-06-26,301.0,0.5528,0.9003,0.0598035,0.8225,0.8085173
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,07,2025-07-12,301.0,0.5607,0.8988,0.0472082,0.8486,0.8359259
SANTANDER,PINCHOTE,_500m_16_days_NDVI,2025,07,2025-07-28,301.0,0.5211,0.8765,0.0471853,0.8094,0.8029409
