Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,01,2025-01-01,1323.0,0.2216,0.6998,0.0539606,0.4641,0.461932
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,01,2025-01-17,1323.0,0.2258,0.5684,0.0470676,0.4424,0.4395066
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,02,2025-02-02,1323.0,0.0666,0.9398,0.1398366,0.4569,0.4768088
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,02,2025-02-18,1323.0,0.0939,0.7348,0.1362586,0.4674,0.4631851
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,03,2025-03-06,1323.0,0.0906,0.7122,0.0826251,0.4411,0.4459052
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,03,2025-03-22,1323.0,0.3964,0.7119,0.0631583,0.6041,0.5948749
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,04,2025-04-07,1323.0,0.266,0.6609,0.0771395,0.5342,0.523392
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,04,2025-04-23,1323.0,0.1,0.7687,0.1073592,0.4753,0.4672986
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,05,2025-05-09,1323.0,0.2173,0.6171,0.0424103,0.5046,0.5013497
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,05,2025-05-25,1323.0,0.2093,0.6181,0.0539554,0.4891,0.4804447
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,06,2025-06-10,1323.0,0.2444,0.6768,0.0681956,0.4414,0.4597546
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,06,2025-06-26,1323.0,0.2257,0.5606,0.0365514,0.4506,0.4503025
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,07,2025-07-12,1323.0,0.1475,0.6486,0.0634292,0.4621,0.4718094
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,07,2025-07-28,1323.0,0.2807,0.6649,0.064856,0.491,0.4979716
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,08,2025-08-13,1323.0,0.255,0.6536,0.0537846,0.4682,0.4717715
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,08,2025-08-29,1323.0,0.1903,0.7042,0.0940722,0.585,0.5546495
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,09,2025-09-14,1323.0,0.1285,0.7597,0.1042569,0.5885,0.5529598
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,09,2025-09-30,1323.0,0.2624,0.6839,0.0946226,0.4652,0.4873944
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,10,2025-10-16,1323.0,0.2974,0.6617,0.0524315,0.5541,0.5459341
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,11,2025-11-01,1323.0,0.2736,0.691,0.0705551,0.4683,0.4675175
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,11,2025-11-17,1323.0,0.2317,0.6739,0.0623425,0.4444,0.4501039
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,12,2025-12-03,1323.0,0.2057,0.6599,0.0648505,0.4631,0.4616633
SANTANDER,PUENTE NACIONAL,_500m_16_days_EVI,2025,12,2025-12-19,1323.0,0.2417,0.5586,0.0473121,0.4282,0.4284706
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,01,2025-01-01,1323.0,0.4849,0.8635,0.0377638,0.7907,0.7833233
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,01,2025-01-17,1323.0,0.4246,0.8735,0.0313123,0.7992,0.7936002
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,02,2025-02-02,1323.0,0.0798,0.8825,0.1445602,0.6878,0.6543791
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,02,2025-02-18,1323.0,0.121,0.8787,0.1529958,0.7174,0.6678971
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,03,2025-03-06,1323.0,0.1279,0.8831,0.1168573,0.7911,0.7577748
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,03,2025-03-22,1323.0,0.5115,0.8392,0.0437147,0.7219,0.7288655
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,04,2025-04-07,1323.0,0.5115,0.8,0.0268499,0.7503,0.7460995
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,04,2025-04-23,1323.0,0.1045,0.8962,0.1572369,0.7402,0.692624
SANTANDER,PUENTE NACIONAL,_500m_16_days_NDVI,2025,05,2025-05-09,1323.0,0.3925,0.8477,0.0417313,0.7783,0.7712397
