Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,01,2025-01-01,330.0,0.3348,0.5314,0.038381,0.42675,0.4305288
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,01,2025-01-17,330.0,0.2787,0.5031,0.038255,0.3969,0.4003012
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,02,2025-02-02,330.0,0.2173,0.5855,0.0483852,0.5112,0.5038958
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,02,2025-02-18,330.0,0.2695,0.4919,0.037474,0.39905,0.400217
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,03,2025-03-06,330.0,0.2829,0.604,0.0523848,0.409,0.4205882
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,03,2025-03-22,330.0,0.358,0.6094,0.039241,0.45235,0.4566621
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,04,2025-04-07,330.0,0.3924,0.6464,0.0419421,0.5603,0.5600152
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,04,2025-04-23,330.0,0.3433,0.6937,0.0779408,0.4941,0.50987
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,05,2025-05-09,330.0,0.3838,0.6288,0.0408953,0.50265,0.501033
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,05,2025-05-25,330.0,0.3383,0.594,0.0445711,0.4895,0.4850464
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,06,2025-06-10,330.0,0.4933,0.655,0.0336969,0.57555,0.57363
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,06,2025-06-26,330.0,0.3166,0.5448,0.0359207,0.4532,0.4540618
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,07,2025-07-12,330.0,0.3606,0.5635,0.0326123,0.4414,0.4382709
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,07,2025-07-28,330.0,0.3673,0.6388,0.0534438,0.5405,0.5262285
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,08,2025-08-13,330.0,0.3782,0.608,0.0484138,0.4946,0.4928673
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,08,2025-08-29,330.0,0.2896,0.5361,0.0362374,0.44485,0.4412248
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,09,2025-09-14,330.0,0.4076,0.6871,0.0679262,0.59935,0.5817609
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,09,2025-09-30,330.0,0.3729,0.6306,0.0660625,0.4468,0.4767282
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,10,2025-10-16,330.0,0.4079,0.6902,0.0555076,0.551,0.5497258
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,11,2025-11-01,330.0,0.319,0.5681,0.0406043,0.4424,0.4481509
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,11,2025-11-17,330.0,0.341,0.6846,0.0831537,0.474,0.4944864
SANTANDER,SAN BENITO,_500m_16_days_EVI,2025,12,2025-12-03,330.0,0.3275,0.671,0.0650768,0.50565,0.4921161
