Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,01,2025-01-01,804.0,0.1236,0.6612,0.0757078,0.39545,0.3908994
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,01,2025-01-17,804.0,0.1306,0.4903,0.0620451,0.3538,0.3507596
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,02,2025-02-02,804.0,0.0934,0.7491,0.0813465,0.3218,0.3274081
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,02,2025-02-18,804.0,0.0575,0.5846,0.0972485,0.3344,0.337748
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,03,2025-03-06,804.0,0.0992,0.6337,0.0836556,0.3579,0.3563968
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,03,2025-03-22,804.0,0.1501,0.5343,0.0640375,0.3643,0.3577443
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,04,2025-04-07,804.0,0.194,0.6616,0.0888267,0.40455,0.4137425
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,04,2025-04-23,804.0,0.0986,0.701,0.1176484,0.3853,0.3911602
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,05,2025-05-09,804.0,0.1528,0.6696,0.0826393,0.4846,0.4669629
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,05,2025-05-25,804.0,0.1396,0.6583,0.0672886,0.48645,0.4804052
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,06,2025-06-10,804.0,0.2281,0.7598,0.0829036,0.5713,0.5533001
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,06,2025-06-26,804.0,0.135,0.7569,0.0816047,0.50725,0.5092422
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,07,2025-07-12,804.0,0.1386,0.7277,0.0673947,0.4298,0.4360577
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,07,2025-07-28,804.0,0.253,0.7613,0.0793981,0.5244,0.5253846
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,08,2025-08-13,804.0,0.1686,0.7529,0.0893597,0.47595,0.4921005
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,08,2025-08-29,804.0,0.1491,0.7043,0.0641154,0.41485,0.4203473
SANTANDER,SAN GIL,_500m_16_days_EVI,2025,09,2025-09-14,804.0,0.1523,0.7528,0.1025203,0.433,0.4632052
