Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,01,2025-01-01,670.0,0.1252,0.7049,0.086921,0.42525,0.4176616
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,01,2025-01-17,670.0,0.1632,0.5504,0.0493533,0.41795,0.4095512
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,02,2025-02-02,670.0,0.0786,0.6395,0.0899148,0.36405,0.3544
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,02,2025-02-18,670.0,0.1099,0.6913,0.0864255,0.3889,0.382807
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,03,2025-03-06,670.0,0.1069,0.6876,0.1053913,0.4131,0.4057075
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,03,2025-03-22,670.0,0.1555,0.6827,0.0740672,0.4437,0.4485052
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,04,2025-04-07,670.0,0.1564,0.7332,0.1063918,0.47755,0.490573
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,04,2025-04-23,670.0,0.0971,0.8107,0.1398226,0.4253,0.4031836
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,05,2025-05-09,670.0,0.1992,0.667,0.0569538,0.5401,0.5348715
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,05,2025-05-25,670.0,0.2093,0.6487,0.0541599,0.52945,0.5249128
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,06,2025-06-10,670.0,0.171,0.7251,0.1162744,0.5952,0.5485612
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,06,2025-06-26,670.0,0.1515,0.6831,0.063701,0.48605,0.4885591
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,07,2025-07-12,670.0,0.1585,0.6872,0.0436144,0.4406,0.4409566
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,07,2025-07-28,670.0,0.1324,0.7026,0.0903025,0.5189,0.5080719
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,08,2025-08-13,670.0,0.202,0.7039,0.0954549,0.4731,0.5041251
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,08,2025-08-29,670.0,0.1581,0.7654,0.0590151,0.4431,0.4451585
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,09,2025-09-14,670.0,0.1767,0.7493,0.1079053,0.437,0.4764722
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,09,2025-09-30,670.0,0.1991,0.7707,0.1017422,0.4541,0.4856158
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,10,2025-10-16,670.0,0.1746,0.7362,0.0742256,0.5925,0.5783243
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,11,2025-11-01,670.0,0.1197,0.6969,0.0848359,0.4531,0.4694942
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,11,2025-11-17,670.0,0.0965,0.6858,0.1300924,0.4175,0.4209639
SANTANDER,EL SOCORRO,_500m_16_days_EVI,2025,12,2025-12-03,670.0,0.1609,0.7841,0.096399,0.47005,0.4645758
