Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,SUAITA,_500m_16_days_EVI,2025,01,2025-01-01,1467.0,0.0996,0.7604,0.0852662,0.4514,0.4482205
SANTANDER,SUAITA,_500m_16_days_EVI,2025,01,2025-01-17,1467.0,0.1823,0.6288,0.0532889,0.4195,0.4166396
SANTANDER,SUAITA,_500m_16_days_EVI,2025,02,2025-02-02,1467.0,0.0397,0.8716,0.1294725,0.4791,0.4577259
SANTANDER,SUAITA,_500m_16_days_EVI,2025,02,2025-02-18,1467.0,0.065,0.8638,0.0982373,0.4081,0.3970078
SANTANDER,SUAITA,_500m_16_days_EVI,2025,03,2025-03-06,1467.0,0.0971,0.685,0.0929614,0.5035,0.4789318
SANTANDER,SUAITA,_500m_16_days_EVI,2025,03,2025-03-22,1467.0,0.1125,0.7707,0.0908124,0.5406,0.5526596
SANTANDER,SUAITA,_500m_16_days_EVI,2025,04,2025-04-07,1467.0,0.1415,0.7167,0.0921934,0.4728,0.4949661
SANTANDER,SUAITA,_500m_16_days_EVI,2025,04,2025-04-23,1467.0,0.1966,0.7458,0.0703317,0.5615,0.5500249
SANTANDER,SUAITA,_500m_16_days_EVI,2025,05,2025-05-09,1467.0,0.2053,0.7409,0.0644228,0.5044,0.4964078
SANTANDER,SUAITA,_500m_16_days_EVI,2025,05,2025-05-25,1467.0,0.3344,0.67,0.0432822,0.4885,0.4880155
SANTANDER,SUAITA,_500m_16_days_EVI,2025,06,2025-06-10,1467.0,0.153,0.6833,0.118792,0.552,0.4977474
SANTANDER,SUAITA,_500m_16_days_EVI,2025,06,2025-06-26,1467.0,0.1158,0.7039,0.0749433,0.4712,0.4754594
SANTANDER,SUAITA,_500m_16_days_EVI,2025,07,2025-07-12,1467.0,0.2432,0.6167,0.0558971,0.43,0.433629
SANTANDER,SUAITA,_500m_16_days_EVI,2025,07,2025-07-28,1467.0,0.1899,0.6994,0.0983308,0.4884,0.5059969
SANTANDER,SUAITA,_500m_16_days_EVI,2025,08,2025-08-13,1467.0,0.2572,0.6639,0.0741528,0.4589,0.4716537
SANTANDER,SUAITA,_500m_16_days_EVI,2025,08,2025-08-29,1467.0,0.137,0.7326,0.084494,0.439,0.4534933
SANTANDER,SUAITA,_500m_16_days_EVI,2025,09,2025-09-14,1467.0,0.139,0.7685,0.1036871,0.4484,0.4854536
SANTANDER,SUAITA,_500m_16_days_EVI,2025,09,2025-09-30,1467.0,0.1696,0.8008,0.0981637,0.5683,0.5426973
SANTANDER,SUAITA,_500m_16_days_EVI,2025,10,2025-10-16,1467.0,0.2958,0.7176,0.0562161,0.576,0.5689855
SANTANDER,SUAITA,_500m_16_days_EVI,2025,11,2025-11-01,1467.0,0.1056,0.6939,0.0713715,0.4351,0.4382087
SANTANDER,SUAITA,_500m_16_days_EVI,2025,11,2025-11-17,1467.0,0.0727,0.8624,0.1220175,0.4916,0.4752494
SANTANDER,SUAITA,_500m_16_days_EVI,2025,12,2025-12-03,1467.0,0.1624,0.7152,0.0790387,0.5212,0.5116952
SANTANDER,SUAITA,_500m_16_days_EVI,2025,12,2025-12-19,1467.0,0.1336,0.8287,0.1008949,0.4972,0.5073838
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,01,2025-01-01,1467.0,0.1826,0.9004,0.0952308,0.7992,0.7737895
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,01,2025-01-17,1467.0,0.6552,0.8955,0.0327296,0.8119,0.8114112
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,02,2025-02-02,1467.0,0.0453,0.8748,0.1562442,0.7233,0.6670067
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,02,2025-02-18,1467.0,0.0868,0.914,0.1445584,0.7615,0.7108363
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,03,2025-03-06,1467.0,0.1167,0.9011,0.1083936,0.7715,0.743998
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,03,2025-03-22,1467.0,0.1525,0.8869,0.0722021,0.7684,0.7584429
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,04,2025-04-07,1467.0,0.1517,0.9083,0.0795987,0.7754,0.7710513
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,04,2025-04-23,1467.0,0.3678,0.8907,0.0631446,0.7768,0.7672823
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,05,2025-05-09,1467.0,0.1896,0.8973,0.0566701,0.7995,0.7914628
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,05,2025-05-25,1467.0,0.6448,0.8911,0.0332272,0.8062,0.8062
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,06,2025-06-10,1467.0,0.2982,0.9231,0.0778301,0.7805,0.7660909
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,06,2025-06-26,1467.0,0.2251,0.9245,0.0608851,0.8072,0.7983709
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,07,2025-07-12,1467.0,0.6138,0.9106,0.0412518,0.8282,0.8228763
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,07,2025-07-28,1467.0,0.5226,0.9406,0.049984,0.7894,0.7904835
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,08,2025-08-13,1467.0,0.4077,0.8468,0.0457866,0.7478,0.7431331
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,08,2025-08-29,1467.0,0.2785,0.9107,0.0602382,0.8228,0.8063248
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,09,2025-09-14,1467.0,0.264,0.9203,0.0586244,0.8078,0.7913373
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,09,2025-09-30,1467.0,0.2691,0.933,0.0787563,0.7576,0.755986
SANTANDER,SUAITA,_500m_16_days_NDVI,2025,10,2025-10-16,1467.0,0.5343,0.8674,0.0447853,0.7769,0.7725776
