Departamento,Municipio,Dataset,Year,Month,Date,Count,Minimum,Maximum,Standard Deviation,Median,Mean
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,01,2025-01-01,434.0,0.1348,0.7298,0.0898697,0.44505,0.44772
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,01,2025-01-17,434.0,0.3005,0.671,0.0828141,0.47435,0.4734101
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,02,2025-02-02,434.0,0.1175,0.6848,0.095268,0.4083,0.4070286
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,02,2025-02-18,434.0,0.1351,0.6541,0.1182525,0.4211,0.4145177
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,03,2025-03-06,434.0,0.0887,0.6983,0.1100758,0.45405,0.4425283
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,03,2025-03-22,434.0,0.1302,0.6848,0.0865788,0.45365,0.4549323
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,04,2025-04-07,434.0,0.1521,0.7438,0.1005836,0.4498,0.4691346
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,04,2025-04-23,434.0,0.135,0.7284,0.1093224,0.44545,0.4561486
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,05,2025-05-09,434.0,0.1667,0.6527,0.0686801,0.51645,0.5022228
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,05,2025-05-25,434.0,0.2267,0.6244,0.0560071,0.506,0.5008866
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,06,2025-06-10,434.0,0.1939,0.6651,0.0749126,0.44715,0.4330726
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,06,2025-06-26,434.0,0.1167,0.7153,0.0906518,0.4877,0.480362
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,07,2025-07-12,434.0,0.2726,0.7326,0.0857911,0.4654,0.4927871
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,07,2025-07-28,434.0,0.217,0.7687,0.0758091,0.54805,0.5458115
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,08,2025-08-13,434.0,0.2763,0.7291,0.0918188,0.45885,0.4918871
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,08,2025-08-29,434.0,0.1502,0.7764,0.084357,0.42685,0.4406747
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,09,2025-09-14,434.0,0.1405,0.7846,0.1209394,0.43385,0.4664205
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,09,2025-09-30,434.0,0.1719,0.7518,0.1115818,0.5592,0.5354712
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,10,2025-10-16,434.0,0.3455,0.7127,0.0514397,0.5791,0.5798882
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,11,2025-11-01,434.0,0.3232,0.6578,0.0587696,0.4372,0.4484869
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,11,2025-11-17,434.0,0.1186,0.691,0.1151517,0.4303,0.4117362
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,12,2025-12-03,434.0,0.0852,0.7006,0.1119017,0.4753,0.4678714
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_EVI,2025,12,2025-12-19,434.0,0.1298,0.7432,0.1095172,0.45795,0.4719781
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,01,2025-01-01,434.0,0.3782,0.9036,0.066917,0.80785,0.7924585
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,01,2025-01-17,434.0,0.5978,0.8425,0.0432039,0.7869,0.7732827
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,02,2025-02-02,434.0,0.1574,0.8524,0.1330739,0.75665,0.7077882
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,02,2025-02-18,434.0,0.2045,0.8638,0.1242757,0.7263,0.6822129
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,03,2025-03-06,434.0,0.1096,0.8738,0.1211539,0.7243,0.6902124
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,03,2025-03-22,434.0,0.1517,0.8374,0.0936819,0.7376,0.7167313
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,04,2025-04-07,434.0,0.1738,0.8733,0.0789948,0.73815,0.7283355
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,04,2025-04-23,434.0,0.1898,0.9317,0.1625591,0.6879,0.6574737
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,05,2025-05-09,434.0,0.2617,0.8663,0.0730107,0.78205,0.7630424
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,05,2025-05-25,434.0,0.263,0.8776,0.0828646,0.8102,0.7888267
SANTANDER,VALLE DE SAN JOSE,_500m_16_days_NDVI,2025,06,2025-06-10,434.0,0.2248,0.9012,0.1532043,0.8445,0.7718465
